,Date,How Helpful,Review Contents,Score,Title
49,"on December 2, 2017","
      3 people found this helpful.
    ",I bought these for my husband for Christmas. I was hoping they would work with his computer  and Tv with wireless. They don't but only because his electronics are too old. But he tried them  and he likes them and uses them with his computer with the wire.,5.0 out of 5 stars,I bought these for my husband for Christmas. I ...
50,"on January 29, 2018","
      6 people found this helpful.
    ","After trying these out for two days, I can say I, personally, am not a big fan of these.Pros:Very comfortable and light: No pressure on head and I can wear it for hours without getting a headache, which is something that has been an issue with other headphones in the past. The pads completely envelopes my ears, so I don't have that 'is this really an over ear headset?' problem with these.Battery life: More or less as advertised. I left it to charge for about an hour or so right out of the package as instructed. Since then its lasted me so far about 10 hours and still going.Attachable cables: Always a great option when battery does run low. I haven't needed to use it, and I can't speak for the difference in quality between bluetooth and cable connection. Then again, I bought it for the bluetooth capabilities, so I'm not too concerned about it.Build/Appearance: I'm really picky with how my headphones look, and I have to say that these ones look great. It doesn't look or feel cheap. Of course, I wouldn't throw it around haphazardly, but if I were to drop it, I don't think it would break. Be aware that the matte finish does make it easy for scratches and smudges to show up, so if that really bothers you, just beware.Range: I can leave my laptop/phone downstairs and walk upstairs with no breaks or static in connection. My pair of bluetooth earbuds (which I've had for quite a while) do cut out and sometimes disconnect and that has always bothered me. I do expect the connectivity strength to decay after a while, but I won't be owning them long enough to test that out, unfortunately.Oh and connecting to my laptop and phone was extremely fast and easy, so that's a plus.--------Then falling into the 'meh' range, is the sound quality.It's alright. It's nothing to write home about. It's definitely not awful per say, but I've had cheaper headsets sound better. I can't say I would call myself an audiophile or anything, but I am picky about headphones. The best way I can really describe it is that the music sounds very distant. I feel the need to really turn up the volume to get a more immersive feel. (which is something I'll address in my cons).These perform best in the mid ranges. Don't expect great bass, and the high ranges can sound well...just off.-----Cons:Noise cancelling: Alright so, I probably should've checked more before I purchased it but, these headphones offer almost no passive noise cancelling capabilities. It's bothersome since if I'm in the kitchen, I can still hear the hum of my refrigerator fairly clearly. To drown out noise, I need to turn up the volume, and therein lies my next problem.Sound leaking: Oh boy do these cans leak noise. I don't know if its just me, but really don't like the noise leaking from my headset. I don't like bothering people and I don't want people overhearing what I'm listening to. But when I need to have the volume up to get a better sound quality and to block out some of the outside noise, the music leaks quite a bit. I've tested it. I'd say with the volume on my phone a third up, someone sitting near me in the library would be able to notice.I might be too picky on this, but it's something that really bothers me. I don't enjoy feeling worry that my music might be bothering the people around me, even if the leak isn't as bad as I think it is. And since I'm a student, I'm often using them outside rather than in the comfort of my own home. It might just not be a good fit for someone like me. I would skip on this pair if you're planning to listen to some hard rock.Strangely, the higher reviews mention how well the passive noise cancelling are on these cans, and I don't know, maybe it's just me. I know different people like listening to their music at different volumes. My roommate has her volume usually set the lowest and I can barely hear it when I tried to listen to something she was showing me. But honestly, if you don't go into these reviews knowing that people experience audio differently, then I don't know what to say.------A summary if reading all that is too much work:If you're looking for an average pair of headphones that looks good, works fine, and the sound quality is alright, I would say go for it.But if you're looking at these with some higher expectations, I would maybe look around some more and consider spending a bit more for a pair that better suits your needs. I've gone through dozens of headphones looking for a good pair and If there's anything I've learned, it's that trial and error is a good way to find out what you're really looking for.These pair of headphones are by no means bad, and I would recommend them to someone who doesn't care too much about the cons that I thought were dealbreakers. I am by no means an expert or anything, I'm just your average college student who just wants a nice pair of headphones to enjoy music in my downtime. And I might be pickier than most....I was dancing between giving this review  2 or 3 stars. I settled on 3 stars to take into consideration how others might perceive my review. Personally it's more of a 2 stars for me since I can say that I don't like it and that I won't be using it. Although if you took the time to read through it all, you could rate it 3 stars or even 4 stars if the cons I listed aren't things that bother you at all. If anything I hope this helps you better than a review just saying 'its bad don't buy it.'(Although seeing that at this time I did splurge and buy myself a pair of higher end headphones, my review might be a bit more bias at this time since it's hard not to unintentionally compare the quality when I'm testing out both of them at the same time.)",3.0 out of 5 stars,"Mediocre, but alright for price if you're not picky at all."
51,"on March 27, 2018",,"Wow, these are the best headphones I've ever had.  I refuse to buy the high priced ones (I'm Scottish).  These last for days.  I use them to watch tv and they automatically hook up to my phone and the tv.  If I get a call I can push a button to answer it without knowing where my phone is.  Haven't figured out how to switch back to tv when I hang up, but I'm sure it's possible.  These cover my ears and feel comfortable for hours.  I love that I can walk around the downstairs and still hear the tv.  The ear cushions fold in so this takes up little space.  It gets loud enough that I can hear and understand what is being said on tv, but the music is not good at all.",5.0 out of 5 stars,Excellent for watching tv and phone calls
52,"on March 31, 2018","
      One person found this helpful.
    ","I am SO glad I read the reviews before I bought these.No, they don't completely block outside noise.No, they don't completely block your noise.But when you get used to them, they are easy to set up.And the volume is great.And the clarity is great.And they are comfortable.And they are compact.If you're looking for functional, affordable, head phones, buy this model.",5.0 out of 5 stars,"Looking for functional, affordable? Buy this model."
53,"on March 20, 2018",,"When I opened the box I thought, "" these look a little fragile - like they're not going to take daily use.""  Au contrere; they're as strong as could be. They look more like studio headphones than the big, clutzy headphones encased in plastic. The old saying, ""You get what you pay for"" is true.  Next, after puzzling over the sparsely worded instructions, I turned 'em on. What an eye opener! As a semi-professional bassist for 40 years, I can tell you that the bass tones are phenominal. They could use a little more high end presence, but over all, no less impressive. My advice is, don't go cheap - the cheap models cannot touch these headphones in sound quality.  Spend the extra $ - you will be blown away!",5.0 out of 5 stars,""" these look a little fragile - like they're not going to take daily use"
54,"on February 18, 2018",,"This was SO worth the $35 price tag! Not only is it SO comfortable, but the sound is AMAZING! Entirely noise cancelling, super soft ear pads, and great range and bass. I got a double helix and tragus piercing, so I couldn't use earbuds because they need to heal. Using one headphone SUCKS so I just bit the bullet to search for wireless over the ear headphones and these are SO perfect! Nothing touches my piercings and is JUST what I need to heal them and still use them for my phone, iPad, laptop and at the gym! The black is mat and the traveling bag is SO nice and great quality!",5.0 out of 5 stars,PERFECT for cartilage piercings!
55,"on April 10, 2018",,"UPDATE:Well, it was good while it lasted, which was not very long. In wired mode, only the left ear receives sound. Bluetooth has become incredibly unresponsive, failing to turn on 90% of the time. When it does, it usually disconnects at random. I am extremely disappointed with what seemed to be a quality product failing so quickly. I would like a refund and/or a replacement.-------------ORIGINAL REVIEW:I am very satisfied with this purchase. Good sound quality and excellent battery life on Bluetooth mode. Looks different than the pictures, but still excellent quality.",1.0 out of 5 stars,UPDATE: Disappointed
56,"on March 24, 2018",,"Great bluetooth headset. However,  bluetooth headsets have the inherent problems that bluetooth comes with - the audio is limited to single channel while using the microphone so it sounds horrendous.  If not using the microphone audio is amazing in stereo at this price point.  However,  I wish this was explicit when buying this item as it does not work as intended - stereo headset with microphone support. In order for a headset to work in such a manner it needs its own usb connector.Update:Is comfortable and sits well on the head.  Company goes out of their way to make sure you are happy with the product.",4.0 out of 5 stars,Good headset
57,"on December 26, 2017","
      One person found this helpful.
    ","I bought these for my mother who lives in an assisted care facility. I was worried that she might not be able to use the Bluetooth feature, but was relieved that this set pairs easily and functions perfectly. The sound is very good. At 90, my mother is able to step into the convenience of wireless listening.I liked these so well, I bought a second set for myself. Thank you!",5.0 out of 5 stars,Bought the first set as a gift and then a second set for myself.
58,"on April 17, 2018",,"I love these headphones. While I'm not an audiophile, I think the quality is great and they are definitely pretty noise cancelling (I often can't hear people trying to talk to me, for better or worse lol). The sound quality on phone calls is also good, just the same as without a headset. They are comfortable and adjust well. The controls are helpful and work well. I like that they automatically power off after 10 min if you turn off Bluetooth on your phone or computer. I have noticed the range on my MacBook is pretty limited though. Also you can have it connected to two devices at once but I've noticed it really decreases the quality. Additionally, while the battery lasts a SUPER long time, the battery indicator that it shows on my phone is not accurate. I don't know if that's more of an issue with my phone though (Google pixel 2). I charge it every three or four days regardless though, so it's not a big deal. Bottom line, this is a great product and a great value.",5.0 out of 5 stars,"Great buy, especially for the price"
59,"on February 6, 2018","
      One person found this helpful.
    ","Lightweight over the ear headphones.  I enjoy listening to books and these are the most comfortable headphones I own and I have several.  They stay in place allowing me to accomplish many tasks while listening, have an excellent range, easy to adjust and so light you forget that you are wearing them.  The only thing that is awkward is the on/off signal, it doesn’t give a clear visual signal that it has gone off, only audio and I usually shut off after removing them (hardly a serious defect). I wish they used a slide button instead of a push.",5.0 out of 5 stars,"Don’t hesitate, buy them"
60,"on March 29, 2018",,"I really don't think you can beat these headphones, and certainly not for the price. I'm not an audiophile, I just love to listen to music. I could care less that there's a mic involved so I won't touch on that.The sound is fantastic, I have a pair of beats and a pair of bose (wired) and these easily beat the beats and are right on par with the bose. Not too much base but nice rich sound. They pair easily, the battery lasts a few days and I use these about 6 hours a day and they're on for 9.Overall, I highly recommend them.",5.0 out of 5 stars,I just love to listen to music
61,"on March 31, 2018","
      One person found this helpful.
    ","Overall, these are a good deal for the price. Flexible, fold-able design, super comfortable, great sound & battery life. The only real downside, as mentioned in previous reviews, isthat the +/- volume switches are combined with the skip/backtrack functions. It took a lot of practice to hold the keys down long enough to change the volume without changing the song, and this feature still gives the user a lot less control over how much they want to turn the volume up or down. On a more personal note, I also found that while the over-ear design is very comfortable, it created a lot of pressure which led to severe migraines within just a couple of weeks of use. So a warning to those with delicate hearing, it may be better to go with an on-the-ear design rather than over.",3.0 out of 5 stars,Comfort + Convenience w/Consequences
62,"on April 8, 2018",,"Item was received within the expected time frame. Item was packages very well. I experienced no problems getting the Bluetooth to connect. I love the fact that I can walk around in my house and I've not had any problems with the sound getting distorted. That's even going thru a wall and a bathroom door! This item does not have complete noise elimination but does cut it out to my liking. You can still hear your house phone if it was to ring, could still hear if someone was to say your name to get your attention, can still hear if your dogs are barking to alert you. That being said, so that is if you're not blasting your eardrums with whatever you may be listening to!! Lol!!  The quality of the sound is perfect to me. Others may like a deeper thumping bass, that which you would expect with R & B. In my opinion it is very well equalized and clear. I love also being able to watch movies and videos on my tablet, my laptop and my cell. Would differently recommend this product!!!",5.0 out of 5 stars,Bluetooth pairing is a breeze! Crystal clear sound!
63,"on March 14, 2018",,"Extremely comfortable. Very pleased. Only thing I don't like about this product, turning the unit off, always states pairing. You have to remember to hold longer then 4 seconds to turn unit off. Other than that, these are by far, the most comfortable headset I have yet to purchase. I use with the Mpow TV Bluetooth transmitter and Wife is very pleased with the performance of this product.  I selected this product by looking only at ""Amazon Choice"" line-up and am I glad I did, you can't go wrong with this purchase.",5.0 out of 5 stars,Extremely comfortable. Very pleased
64,"on March 21, 2018",,"Unless you absolutely need active noise canceling, or require top of the line audio quality for music production, these headphones are awesome!!! For the every day person who just wants to listen to some tunes or watch videos without interrupting their significant other, these headphones are great. And you can’t beat the price!! I was seriously considering buying some 200-300$ headphones, but thought I’d give these a try before I took the plunge. And I’m soooo glad I did!! They block out a decent amount of sound, and he sound quality they deliver is perfect for the previously stated needs. Buy these headphones, you won’t regret it!",5.0 out of 5 stars,Great!
65,"on March 2, 2018",,"I normally wouldn't have written a review so quickly after purchasing an audio device, but I was impressed when MPOW replied first thing in the morning after I requested a .pdf of the instructions overnight since those in the box were printed incorrectly and iThe information about the dual purpose controls was omitted,  That was nice.  I really haven't challenged these phones yet since I've only been using them for streaming TV, but they seem to have pretty good sound.  They are really comfortable and well balanced on my head which is what I was looking for when I bought them.  My last pair were heavy and always felt like they might slip off.",5.0 out of 5 stars,That was nice. I really haven't challenged these phones yet since ...
66,"on April 14, 2018",,I have always had problems with any form of headphones until I found this! These Headphones are a dream come true. No pain and I've worn them for hours at a time. The have a large cup that goes around the entire ear rather than resting on them They can be either blue tooth or use a corded. Call comes in while you're using them and poof you're connected. I haven't had any complaints from people I've spoken to so the mic must be pretty good too although i don't know where its hidden. Highly recommended!,5.0 out of 5 stars,Excellent Quality and NO PAIN for people with sensitive ears.
67,"on April 9, 2018",,"Need headphones for use with your iphone? These work great. Need it to work with a Sony PS4? ... Use a Avantree USB Bluetooth adapter and it will! I searched and searched and searched for something to avoid buying the SONY gold earphones which are uncomfortable and over priced. These headphones fit the bill and with the bluetooth adaptor work flawlessly with my PS4. Tested them with my iPhone 7 and the range is easily 30-40 feet. Even seems to work through a wall or two. The build quality on these is exceptional given the sub $50 cost. Battery life is ridiculously long and I rarely have to charge these even after a week of off and on use. Took a gamble on the ""cheap"" route for bluetooth headphones and I'm not disappointed at all.",5.0 out of 5 stars,"Great build, decent sound and no issues with pairing"
68,"on March 27, 2018","
      One person found this helpful.
    ","Unfortunately, I will be returning these headphones. While they make work for some people, they did not work for me.Pros: comfortable and good sound quality when listening to music.Cons:The phone call/microphone did not work. I tried calling on my Iphone 7 and the person on the other end complained of an insistent and loud ringing noise. I then tried calling on Factime and there was a similar sound and a white noise sound. We performed a variety of tests, me moving away from the phone, standing still, moving my head back and forth, and just taking the headphones off and leaving them on the opposite side of the room from myself. In all of these tests the person on the other end still heard the sounds. The only time they didn't hear the noise was when I called them from my computer on Facebook Messenger. Since one of the reasons I wanted to use the headphones was to call people, these were completely inefficient.Also, they look really bulky and a bit ridiculous on. If you are looking for something more streamlined this is not the headset for you.",2.0 out of 5 stars,Can't use to make phone calls due to loud ringing noise + extremly bulky looking on
69,"on February 11, 2018","
      2 people found this helpful.
    ",the headphones are great however the microphone is not working it is showing connected by Bluetooth but does not pick up sounds,1.0 out of 5 stars,microphone is not working
70,"on December 30, 2017","
      7 people found this helpful.
    ","The audio has a good quality, but the microphone is deplorable and I tried two headsets, once the first one I returned. The sound of the microphone is muffled with a noise with the main audio. I tested with Skype and I recorder I have, both I had the same result. I also compared the audio (mic) with a previous headset I had (Logitech), and the Logitech is perfect, clear and without any noise, despite not been so comfortable as MPOW. Im thinking to return again and try another model, once I use the mic a lot. If you just use the speakers, go ahead and buy it, if you use the mic, don't buy it.UPDATE: after the seller replace the item, the quality is better.  Excellent speakers and ok microphone.",4.0 out of 5 stars,"The audio has a good quality, but the microphone is deplorable and I ..."
71,"on February 21, 2018",,"A good product when it’s in working condition. First the good. The sound quality is very good for the price. My kids have beats and Bose headphones. I always prefer bose to beats. I’d say sound quality wise these are on a par with the beats. The battery life is great. I use them when I work out. its been almost three weeks, four times a week, one hour each time. I am still on the first charge. And they seem to have 80% juice left. They are also very comfortable. Great for workout.  Even though they are not noise cancellation type they do a good job isolating me from the surroundings.Now my main complain is the build quality. One of the spongy cups that go over the ears came off all of a sudden. Don’t know how. Hopefully it’s just an issue with this set. I am going to have to return them.",2.0 out of 5 stars,Great but defective
72,"on February 26, 2018",,"I wasn't expecting a lot for $35, so I was pleasantly surprised by these phones. They are very light and comfortable. The sound is clear and crisp with a reasonable amount of bass, and the over-the-ear design is good at reducing ambient noise. I hear a few pops when they are connected to my iPhone via bluetooth, but I have similar problems with other devices, so I can't fault this product. All in all, a very satisfactory purchase.",5.0 out of 5 stars,Great bargain.
73,"on March 3, 2018",,"OK, so the bottom line is you get what you pay for. Do they sound AMAZING? No. Not at all. Do they sound GOOD? Yes, they do. The battery life is also quite impressive. I've put about 12 hours on them and I haven't come off 100%. Overall, for the price, they are quite good. They are not true ""noise canceling"" headphones, but I've used them on several flights and it eliminates 90% of the background noise, and you can hear your audio quite well. I recommend them.",4.0 out of 5 stars,Decent headphones! Most bang for the buck!
74,"on January 31, 2018","
      2 people found this helpful.
    ",I absolutely love these. They are my first bluetooth wireless headphones and I couldn't be more pleased. I have a large head and they fit extremely comfortably. The sound is great and instructions for set up are clear. No need to hesitate.,5.0 out of 5 stars,Great sound and comfortable!
75,"on March 1, 2018",,A nice improvement over the previous model.  The ear cuffs are larger and more comfortable.  They also feel lighter and easier to wear for longer periods.  The controls are better and the plastic has been replaced with a velvety rubber.  The sonic quality is outstanding--better than headphones costing 3x as much.  My only disappointment is that they seem to be designed for a larger head than mine.  But they are adjustable and comfortable.,5.0 out of 5 stars,Great value and performance
76,"on April 9, 2018",,"These things are awesome, up in running in 2 minutes after of course fully charging.  I merely turned them on and went to my iPhone 6s Plus and it found it and told me it found it.  testing it with real music, jamming to AC/DC, Beatie Boys, Crue, Judas Preist.  Ill test phone function later and let you know.  Bought these for the airplane and vacation to drown out the engine noise and any babies, adult and infant type.",5.0 out of 5 stars,"Sound is awesome, totally worth it."
77,"on March 22, 2018",,"Reasonably good sound and easy to use. I have another set f headphones of another brand that cost $80 on Amazon that are areal pain to ""pair"" with the bluetooth device. These Mpow headphones charge up fast and last hours, never ran out of power yet in an evening. They are a little clumsy on the head, but for the price, what the heck and they are better than my more costly, lighter and petulant other set.",5.0 out of 5 stars,Good for the price
78,"on March 10, 2018",,"I’ve had the 059s for about a year. Typically use them around the house and mowing the lawn. Amazing for the price. So I decided to get a pair for work. I decided to try these since it came from the same brand and seemed to be a newer model. I’d say they’re softer, more comfortable better sound quality, but don’t block as much external noise as the others. I think that’s part of the trade off with the comfort though.",5.0 out of 5 stars,Amazing for the price
79,"on March 15, 2018",,"These are very nice headphones for the price. Received many comments from co-workers and family of how good they look and they are very comfortable. They sound great with nice clarity of the mids and highs and a sufficient amount of bass. They have excellent Bluetooth range.  I like the voice responses they give for off/on, paired, connected/disconnected etc. Easy to use and really fast pairing and connecting, no complaints here...",5.0 out of 5 stars,These are very nice headphones for the price
80,"on January 15, 2018","
      One person found this helpful.
    ","Lasted 2 weeks  Audio quality was ok, as expected for the price  But then, one channel died without  warning after just 2 weeks of light use.  Returning, hope I get a refund 😯UPDATE:  Replacement is working fine after several weeks.  Yay.",3.0 out of 5 stars,Disappointing (see Update)
81,"on February 15, 2018",,"Edit: The customer service is great.  Me looking at my email is not so great.  The company reached out to me multiple times w/o me noticing and when I finally did the assistance that they were willing to provide was great.  The headphones are up and running and the issue hasn't occured again!  These headphones were a steal when I purchased them.  Probably still are!These headphones would probably get 5 stars if it was not for the issue that just arose.  I had the headsets connected via Bluetooth to both my compatible laptop and phone (Galaxy S7) and in the middle of my music playing from my phone.it all of a sudden completely disconnected from both electronics.  I have attempted to repair with each device without any lucky.The headphones themselves work great, the fit is comfortable, and they are very easily portable.  Hopefully there is some type of solution to this issue because they are a great pair of headphones",5.0 out of 5 stars,"The headphones themselves work great, the fit is comfortable"
82,"on January 6, 2018","
      2 people found this helpful.
    ","Really like these!  Comfortable, convenient, controls are easy to navigate and the sound is very good.  I am not an audiophile, but do like true sound.  I picked these over the MPOW 059 because the 059s emphasized heavy bass and I am not into heavy bass.  I picked these over the Avantree b/c these didn't have a carrying pouch.",5.0 out of 5 stars,Really like these! Comfortable
83,"on January 16, 2018","
      One person found this helpful.
    ",Finally I can listen to my audiobook without getting my earbud cords hooked on everything while I'm cleaning.  They were super simple to set up and use and I have no problems hearing people or them hearing me.,5.0 out of 5 stars,No more tangled cords.
84,"on January 14, 2018","
      2 people found this helpful.
    ","Nice product, very basic and easy to use. Very light weight and comfortable. The ear cover is oval in shape, which works much better for me than others that have been round.",4.0 out of 5 stars,"Great product for the price, does exactly what it says."
85,"on February 26, 2018",,"Pretty damn good headphones.  Not too heavy on the bass, but it's there.  I approve.  Though the way to adjust the volume is pretty irritating; you have to hold it down but there is no indication on the change.  Most the time it either moves on to the next/previous song.  I guess I still gotta get used to it.  Still though for the price it really bumps.  I like it.",4.0 out of 5 stars,Nice
86,"on January 17, 2018","
      One person found this helpful.
    ",For the price it’s hard for to beat. A couple little quirks (such as needing to hold the volume buttons to increase or decrease volume) that take a while to get used to but other than that works great.,5.0 out of 5 stars,A couple little quirks (such as needing to hold the volume buttons to increase or decrease volume) that take a while to get used to but other than that works great.
87,"on January 19, 2018","
      One person found this helpful.
    ","This was a gift for my son, who has a new phone with no audio jack. He is pleased with the headphones at a fraction of the price of the leading competition. They are very comfortable and sound great, he says.",5.0 out of 5 stars,Great sound and comfort at a low price
88,"on April 4, 2018",,"Considering the fact that it's less than $40, I gotta say it's great.I'm satisfied with this overall but there's really annoying thing that bothers me.It's that its sound is basically too loud.If you're gonna use it for your laptop then it wouldn't really matter, but if you're gonna get it for your pad or phone then it might bother you as well.I can't really use this product at night because it's too loud even at the lowest level of sound.Moreover, somehow when it's the lowest level I can't really hear anything, there's no sound.I contacted customer service and they let me know the way how to deal with it, but it didn't really work.TLDR; If you're gonna use it only with your laptop then it's perfect. Otherwise, I'm not sure if it would be perfect.",3.0 out of 5 stars,Overall great but basically it is too loud
89,"on February 17, 2018",,"Easily the most comfortable headphones I've ever worn. The cushions are made of something like memory foam and don't put much pressure at all on your ears, and the set is lightweight so they don't feel like they're dragging on you. I can wear these for a couple of hours without feeling uncomfortable at all. Sound quality is decent for the price as well - don't expect these to sound like Bose and you'll be happy. Battery life matches up with the advertised numbers and lasts a long time.My only complaint is the low battery warning - it kicks in about 5 minutes before the set shuts off. Yes, you can plug in a cord and keep listening, but that defeats the purpose of having wireless headphones. Not ideal.",5.0 out of 5 stars,Easily the most comfortable headphones I've ever worn
90,"on March 10, 2018",,"Terrible quality. I've had these headphones for exactly one week and already the audio has cut out on the right earphone. Not sure if it's a loose wire or what the issue is, but I've used these things solidly at my desk for a week and now, the right audio does not work. I love the price, but I need them to work more than a couple of days.",1.0 out of 5 stars,"Great sound, terrible quality, they break within a week."
91,"on January 17, 2018","
      One person found this helpful.
    ","Very comfortable headphones for all-day wear. The sound quality is good, but there is not much bass. A single charge on the battery is still going although we don't use the headphones all day, every day.  The range is also good. It took some time to get used to the on/disconnect/off settings, but overall it is a good value. The carrying bag is also a plus!",4.0 out of 5 stars,Very comfortable headphones for all-day wear
92,"on March 17, 2018",,"I wish I could give it six stars. Lightweight, easily adjustable to produce just enough pressure to stay in place, while remaining a very soft feel against the side of the head, with no pressure on the ears. Barely notice that I'm wearing it, except for the great sound. Very balanced with nice bass, sounds very natural.  Both bluetooth and wired modes sound great. And all for $38. Wow!",5.0 out of 5 stars,easily adjustable to produce just enough pressure to stay in ...
93,"on February 3, 2018","
      2 people found this helpful.
    ","I like headphones that don't press on my ears. Not just ""over the ear"" but large enough to not press at all. These sound fine, work seamlessly in BT mode, connect quickly and the buttons work well for volume and song skipping.",5.0 out of 5 stars,"Comfortable, large earcups, good BT and sound pretty good"
94,"on March 8, 2018",,"I did not know how bad my last headphones were until I bought these. They pair very quickly with my iphone or ipad and hold a charge FOREVER. Seriously. I finally charged mine again just because I thought certainly after this much use they must need it, even though the tiny battery icon on the screen indicates they are still fine. These are so nice that my husband bought a second pair for himself for the gym. He also loves his!",5.0 out of 5 stars,Great Headphones for any price
95,"on January 29, 2018","
      3 people found this helpful.
    ",The material from the headphones it’s already peeling. I got just a few months  ago,1.0 out of 5 stars,One Star
96,"on December 29, 2017","
      One person found this helpful.
    ","Upgrading from the previous generation (Mpow 059), whose headband broke after only a few months.  These headphones are a significant upgrade over the previous ones, improving comfort, look, feel and (tentatively) sound quality.  They are perfect for my everyday needs.  Thanks Mpow!Highly recommended for office/home use.Will try to follow-up with a reliability update at a future date, but it's been impressive thus far.  Interested to see if they can raise the bar even further.",5.0 out of 5 stars,Perfect set of Bluetooth headphones for everyday use!
97,"on February 28, 2018",,I bought these bluetooth headphones because my husband enjoys music as he falls asleep and I watch a little tv.  The price was great so I thought I'd give these a try.  They arrived quickly and were easy to pair with my husband's phone.  He loves them!! They are comfortable and he tells me the sound is great.  Very happy with these.,5.0 out of 5 stars,Good buy!!
98,"on March 9, 2018",,"Super quick delivery. Headphones are really nice looking, very comfortable and the sound is just perfect! I was more than impressed with how loud and clear they sound considering the price. I walked all over the house and left my media player in my bedroom with no interruption on the signal at all. This is definitely a great buy!",5.0 out of 5 stars,Superb sound!
99,"on February 19, 2018",,"I almost spent $350.00 (😱) and I  thought these may not be that as as of their price,but they are GREAT got them 3 hrs ago change on pc half hour got it  synchronized with iPhone EASY the on my windows 10 pc EASY feel better then my B$&se (has cord) sound is great looks and feel  Beyond comparable great.The price  unbelievable AM  believer  i’m the roughest critic around I do not porno punches .....",5.0 out of 5 stars,Way BETTER then B or B (the big names)
100,"on February 5, 2018",,Light weight and color is great as well as sound quality. Pairing my iPhone is easy. My Dell pc had some difficulty to set up Blue tooth. However my primary reason for purchase was connecting Dell. It took me 2days to figure out. I found sound comes out of monitor HDMI connection but not headphone. All I had to do was on Windows blue tooth setting I remove monitor sound. Monitor display is not affected but sound is on MPOW.This made me very happy. Sadly I shipped it back after 4days on off switch became erratic and middle of  listening connects and disconnectsoften and too annoying. Sound quality was very good and I felt bad. I thought blue tooth was issue and connected wire to Dell PC then sound quality plummeted. It took 2wks before I gave up.,2.0 out of 5 stars,"Light weight nice color and 25 feet plus reach, but power on switch is erratic."
101,"on February 20, 2018",,"These earphones work well. When I first got them, it hurt to wear them and I was considering returning them. However I decided to break into them and see what happens. Thankfully, they don't hurt anymore and are quite comfortable. I really like that it can be cordless or not. The biggest problem is the volume button. You have to press and hold which can be quite difficult sometimes because you have to wait. I prefer the usual click to increase the volume. The battery lasts for a pretty long time, I only use the battery occasionally and it's been three weeks and I have yet to charge it. Because the headphones are nicely padded and over the ear, it can help to filter some sound out. Overall, these headphones are pretty good.",4.0 out of 5 stars,they don't hurt anymore and are quite comfortable. I really like that it can be cordless ...
102,"on March 7, 2018",,"For the price it's WORTH IT! Sound is good not great but good and solid. They're pretty light weight on your head and the foam keeps your ears at a normal temperature. Most headphones can keep your ears very warm or just hot. These keep your ears at a comfortable temperature. They Charge rather quickly and can last most of the day if not into the next day easily. The only downside is the signal lights.  They can be pretty bright and they flicker depending on if you need a charge, or your Bluetooth signal strength. But other than that I plan to purchase another one. I can be a bit rough on my headphones!",4.0 out of 5 stars,Sound is good not great but good and solid
103,"on February 27, 2018",,I have not used these very much yet but my first impressions are that they have good sound and are quite comfortable.  The bluetooth works well with my phone.  Having a volume control that was easy to control was important to me.  It appears that the volume control does NOT work when you plug these into a device using the cable - it works only when connected via bluetooth.,4.0 out of 5 stars,Comfortable headphones with bluetooth.  Good sound
104,"on April 16, 2018",,"I thought these headphones were not so great:Pros: Quite comfortable and light. I could wear them for a long time. Sound quality was fine.Cons:- The voice that announces ""power on"", ""pairing"" etc is REALLY loud. You can easily hear it with the headphones off. There is no way to adjust this.- I had audio skipping issues when using them with my Macbook. Tried adjusting bluetooth settings in OS X but never got it to stop.I ended up returning them due to the above issues.",2.0 out of 5 stars,I thought these headphones were not so great: Pros
105,"on March 13, 2018",,"I took a chance from all the good reviews...but these disappointed me...the sound is ok but you can not compare these to a higher brand headphone...some people compared these too a 300$ pair of headphones..nope they are not loud if ur in a quiet area then yea but if there's loud noises in the background u can barely here the music...i had a pair of beats studios the first style that ever came out and the beats were 10 times better...i guess I'm just used to the louder speakerBut I'm just giving my 2 cents, if u want a average pair of headphones these are it but if u want somethng louder with more bass and treble go with a different brand...you get what u paid for..",2.0 out of 5 stars,I took a chance from all the good reviews.
106,"on January 14, 2018","
      One person found this helpful.
    ",I got these with a Christmas gift card to Amazon I got. Very easy set up to connect with devices. I have not used the phone call feature yet. The sound is very good too.,5.0 out of 5 stars,Great product for a great price.
107,"on February 14, 2018",,"These headphones are not the best, but they are good. They are not very loud, not very isolating, and do not have great audio range. The comfort level is decent, but there are some pressure points and not much ability to adjust them. On the upside, there is no interference whining sound when there is no audio playing. The range is good, they have a decent sized battery, and the firmware is good.",4.0 out of 5 stars,"Not great, not bad."
108,"on January 27, 2018","
      One person found this helpful.
    ","I really like the comfort of these headphones. While they are pretty bulky compared to other headphones, they are so comfortable that I really don't mind that I look like a Cyberman.",5.0 out of 5 stars,So Comfortable!
109,"on March 29, 2018",,"I purchased this to listen to podcasts on my Mac Pro, not music. The following are my comments:1 - Pairing with my Mac Pro Bluetooth was simple and took about 10 seconds.2 - The ear cups are very comfortable.3 - Sound quality for the podcasts I listen to is more than adequate.",5.0 out of 5 stars,Simple to pair and quite comfortable
110,"on March 20, 2018",,"Product exactly as described. Headphones are very comfortable and music sounds very clear. It does not have very good sound damping features but this information is clearly stated by the producer. Over all, you are getting EXACTLY what you buying. Not what I was looking for but this is due to my own fault, I should believe the description.",4.0 out of 5 stars,Headphones are very comfortable and music sounds very clear
