,Edifier H650 Hi-Fi On-Ear Headphones - Noise-isolating Foldable and Lightweight Headphone - Fit Adults and Kids - Blue
124,"I bought these as a more portable/foldable set of headphones for airplane flights. Because my headphones sometimes take some abuse while I travel, didn't want to 'break the bank' for my purchase. These were a great purchase! Super light-weight, Fold-up nice, and wow---the sound quality is SO MUCH MORE than expected! Great buy."
125,Sound very good for the price. All frequencies as complete and clear as can be expected. Only downside is they can be a bit uncomfortable after listening for long periods. Pads I guess could be softer and maybe bit bigger.
126,The headphones are very comfortable and there is no background noise at all.
127,"When I first unboxed these headphones I was a little skeptical. My first reaction was they looked ""cheap"". But for the awesome price I was not expecting them to be blingy anyway. As soon as I tried them I loved them! The sound quality far exceeded my expectations and they are so comfortable and light weight I can hardly tell I have them on. Over the years I have owned various pairs of earbuds and over the ear headphones. I have never found a pair of earbuds that I like at all. Over the ear phones are much more to my liking because they are just more secure. The only problem with every pair of over the ear is after a period of extended use they can make my ears sore, and/or hot and sweaty. Not the case at all with these, as they are light as air and do squeeze my ears the way others have. An added bonus, which I did not realize until today... It may have been mentioned in the description, I just didn't notice it if it was. The speaker on my Android cell phone quit working about a week ago. I had these headphones plugged into this cell so I could listen to some music on a road trip. I had a couple phone calls come in and the music stopped right away and I was able to answer the calls. My callers were able to hear me clear as a bell, no problem at all. I have spent a fortune on head phones over the years and I have to say these are by far the best ones I have ever owned in this price range. They are not as cheap as they originally liked when I first unboxed them.. They are just not as bulky as all of the others I have owned, which is why they are so comfortable and light weight. The only reason I have these 4 stars instead of 5 is because the only thing that would make them more perfect would be if they were Bluetooth. If you are considering purchasing these I would say go ahead. Best set of headphones in this price range. You won't be disappointed. I do plan on searching this company to see if they sale the same design but in Bluetooth."
128,My grandson loves them
129,These earphones are perfect. They are compact for travel purposes and work very well!
130,"Only one problem has come up with these phones. Only one day after receiving these headphones- for a duration of about an hour, the volume in my smartphone could not be heard with these plugged in, while unplugging the headphones resulted in sound.

Aside from this, they have proven a solid set of headphones unlike any others comparatively priced. They do an amazing job of isolating most sounds that distract from the listening experience. They fit over the ear and don't cause me discomfort.

Ordered these in my favorite color, orange. I appreciate the variety of colors we can choose from.

As for storage, I wear my backpack when attending school in the evenings, so when putting them away, they fold away nicely in the High Sierra Access backpack's top compartment specially designed for bigger headphones. Their simple design- no loose attachments or buttons- adds to their long life. Will attach photos later this week.

A more detailed review follows.

*Update 1.30.2017*

Bought these in mid February 2016 and love them.
They're so comfortable to wear that i even sleep with them on!

Unfortunately, 'this morning I awoke to find them off of my person.

In fact, I accidentally dislocated an earpiece, damaging one of the hinges.:'(

Fortunately, this happened within its one year warranty."
131,"The sound is good and they fold up very compact. The color is great. They are just a bit snug so if you have an average or big head, they might feel uncomfortable."
132,Work perfect at a great price.
133,Nice inexpensive headphones for my iPods. Good sound and comfortable fit. The folding feature makes them easy to transport..
134,"The reviews are accurate! I found the Edifier to be impressive at first blush. Good packaging, easy to remove from plastic box. I plugged it into my Mac book Pro and started playing a lot of different songs. The first thing I noticed was the transparency. The sound is clear and present. You might find yourself hearing things in the mix you didn't hear before. The highs are not overly accentuated and the lows are balanced for an even response overall. If you are looking for headphones that boost the lows this isn't the unit for you. The cord is thinner than some so you need to take care of it. As reported in other reviews the phone fit quite snugly your head and that is a factor when wearing headsets for long periods but that snugness also gives you good separation from outside noise. That said, extending the band fully will reduce the tightness of fit and makes it more comfortable. If you like clear and balanced sound this is a great product, especially for the money.
Update: I have had these headphones for over a year now. They are still in great shape and continue to work flawlessly! Very please with this purchase and would purchase again if I needed another pair."
135,"Light weight, good sound quality, comfortable to wear."
136,Really good headphones for the price. Clear sound. Comfortable to wear. Happy customer!
137,"Nice product. A bit snug, but prob necessary for the outer noise reduction. I would have liked a bit longer cord. Overall, the sound quality is nice as is the price."
138,I got these for my granddaughter for Christmas who is 10. I was surprised by how well the sound came through. She was pleased and I was satisfied that the cost was worked for me. Finding a good resonable priced music source to work with it did not work as well.
139,I have only had these for a few days but loved the improved sound while listening to shows on my tablet I heard things I would have never heard just listening to it through the regular speakers. Also they are really comfortable.
140,Very good
141,"The quality is fantastic!! It's definitely worth every penny, very comfortable to use and the sound is MAGNIFICENT."
142,"Bought this for my 9 year old daughter and she really likes them. They are lightweight and fit her well. Also fits me and sounds goods too.They seem well built, especially when compared to the cheap junk that I have seen around. These are much better quality and am confident they will last a long time."
143,Very poorly made.
144,"These were a gift for my wife. These are not over the ears headphones, but padded ones that sit on the ear. These are exactly what she wanted."
145,My 12 year old son says he would rate these as 4 stars. He says they are a little small for him.
146,These earphones fit well and provide excellent sound.
147,I am very impressed with these headphones. The sound is so clear and I am very hard of hearing.. Thank you!
148,"I bought these for my 13 year old daughter. She said they are comfortable, fit well, and the sound quality is good. They arrived quickly and in good condition. She is happy, so I am happy."
149,"They sound great, block a lot of background noise. Ear cushions are comfortable."
150,Easy to use for a child of 6! Soft cushions for ears!
151,"When I first put it on it felt too tight, but after streching and moving it on my head it it felt OK. The sound from my CD was better than any of my other earbuds have. I didn't know when but I feel asleep listing to my ""Go to Sleep"" CD. and I felt very comfortable when I woke up with the Headphones still on. 2nd Note
Last night I had a bad ""Shock"" feeling from the Headphones. The side without the Conecter gave me a ""Sharp buzz Sting"" on the side of my Head. above the Phones. I do not want to put them on again."
152,These are extremely comfortable and provide excellent sound quality.
153,"Great headphones for the price. They are very comfortable and easy to adjust. I use them in the evenings to listen to books on Audible, and they work great."
154,I bought these to travel with. They are very flexible and easy to fold. And I like the fact that they don't fully cover the ear as they seem to be more comfortable than that type of headphone.
155,"VERY PLEASED with sound quality . I wear these 4 to 5 hours a day at work , I also wear glasses , I do lift the temple of the glasses above the ear pads so they do not press against my ears. Back to the sound , clear and good bass NOT over powering . Does block out enough outside noise so I do not have to increase the volume , They will not block out noise on an Airplane. People around me cannot hear what I am listening to. AGAIN 5 STARS and would recommend . THANK you Amazon"
156,Sound quality is pretty terrible. I know they're inexpensive but having halfway decent sound is indeed possible with headphones at this price point. The head piece is well designed however and they are comfortable to wear. I expected more from edifier honestly.
157,I got these as a gift foe someone and they really like them.
158,This product stopped working on the second day. The quest for a quality headphone continues....
159,"Its only been a couple of months, and the Left ear no longer works."
160,"I gave these headphones as a gift to a friend who's doing a lot of traveling. He says these headphones sound great, fold flat... He was pleased with my choice!"
161,"My 8 year old daughter has had these for a couple of days now and she is very happy with them. They isolate the sound nicely and they are comfortable. Perfect size for her too. They look like good quality, strong headphones."
162,"Decent headphones. Works well, sound is clear and sharp. Worth the price paid."
163,"Just the right size with great sound. Arrived quickly, great product for the money"
164,Just received mine today and am very happy. Sound quality is comparable to a more expensive headset. For the price you can't go wrong.
165,"My seven year old is thrilled about these headphones. They work well with with iPad and Kindle. Personally, I think sound quality is okay -- there's too much treble, but easily remedied through iTunes. The headphones do no't completely fold down even though there are hinges. All in all, happy with my purchase."
166,"These are great easy on the ears you can wear them for long periods, no problem. They seem to block out outside noise very well."
167,great sounding headphones
168,Got this for my kid. Loves it. Color is nice and bright. Foldable design saves space. Good sound.
169,These are nice headphones but they are on the small side as far as covering the ears go.
170,INEXPENSIVE AND GOOD !!
171,I received the headphones and I am very happy with them. They are comfortable and the sound is very good. Very happy with the product. Thank you. Lucy
172,"Bought these headphones to replace my ear buds. Was immediately surprised by the quality of sound that I previously wasn't hearing. To test out the noise cancelation feature I wore them on the Metro. I couldn't hear the train, the speaker, or anybody on the train. Plus the headphones fold and fit into my jacket pocket. Definitely a great purchase."
173,"The headphones are very comfortable and the sound is fine. They were shipped quickly and arrived in good condition.
I haven't tried them on an airplane yet but will soon and hope they will help deafen the engine noise,"
174,Love my new headphones. I needed them in order to enjoy viewing my shows and listening to YouTube with disturbing my husband. He loves that I got them too😀
175,"Outstanding sound, great value"
176,The Edifier H650 headphones is for anyone. So my son needed new headphones. Thus far the sound quality is great! I plan to purchase a second pair for back-to-school supplies.
177,Fantastic sound! I like them better than a pair of smaller Sennheisers I bought for three times the price about 8 years ago.
178,"The headphones are great! They fold in to take up less space and the sound is really good. I used them on a recent trip and they blocked out all other noise. Definitely worth the cost, and I love the color!"
179,Great head phone. Light and clear.
180,"Really compact and easy to travel with. The sound is great! Does not require batteries, which is really nice!"
181,"Just got these headphones on Sunday and have been trying them out around the house and at the gym. They work beautifully! Nice and light. Small ""footprint"" so it's great for traveling. Great sound and good noise cancellation. Fantastic price!"
182,"Sound great. Exactly what I was looking for: lightweight, foldable, but covering the ear with a comfortable pad. I hate earbuds, they never fit my ear. These will be great for travel."
183,LOVE these headphones! The sound is amazing for the price! Totally blocked out any outside noises and fit comfortably! The cord is just the right length for my MP3 player and the fact that they are adjustable is great. Very happy with this purchase.
184,Cute color and light weight. They almost muffle the outside sound. Great for the price.
185,Great head phones for the priece.
186,"Purchased for my 11 year old sister and she loved them! I can't speak for the quality of the sound as I did not try them out, but the headphones themselves seemed very well made and the color (purple) was exactly as pictured. Loved the fact that the headband is adjustable. Packaging was great too, very high quality and perfect for gift-giving."
187,"I purchased these as a gift for my ten year old son and like them so much I will likely go back and buy a pair for myself. They are not only very comfortable, but the sound quality is great - bonus that they fold up for travel."
188,"Nice headphones, just small. I did notice that it said it would fit a child too, but didn't expect them to be that small on my ears. Either way, I do like them and my daughter loves them."
189,I lobe these headphones. Really great stereo.
190,I watched 4 movies in a row on the plane back from Asia. My only complaint is that it fits tightly on my head and I don't have a big head.
191,as good as my bose and not as cumbersome
192,"Confortable, perfect size, nice colors, we very satisfied. This is our 2nd pair. We like it and recommend! Great price!"
193,The sound good. I am satisfied. They look cool too.
194,"Not the most expensive headphones available, but certainly among the best. I gave a set to my husband, so he can listed to his
iTunes music on his iPhone. The sound is beautiful. I'm very pleased."
195,Nice product. The part which covers the ears folds back into the headband which makes storage easier. But the ear piece doesn't completely cover the ear for reduced background noise.
196,Good sound great color. Granddaughter loves them.
197,Sound quality wasn't as good as I had hoped. Ended up getting broken because the cord got loose and the headphones no longer put out sound.
198,The headset is plain and simple the way I like it. I started buying the audio version of some e-books. After reading a lot all day it is great to sit back sometimes and just listen.
199,I purchased these for my grandkids. They appear to work great and be able to with stand the use of little ones.
200,My 6 year old likes these a lot. She says they are comfortable and they stay on her head great. The sound is even decent.
201,"The sound is pretty good on these earphones, especially the highs. I stopped using them because they hurt my ears after time. I ended up buying a set of over-the-ear headphones."
202,my girlfriend love them... Love the vibrant color.
203,"These little headphones are great - they are small, light and have good sound. They are adjustable as well. It is hard for me to understand why a headphone manufacturer wouldn't allow for all different sizes of heads --- I just returned the Sennheiser headphones because they were enormous and non adjustable. I have some small Bose headphones that were triple the price of these - and I feel these are comparable.
I hate clamshell packaging, but was very pleasantly surprised to see that both pieces of plastic had the 'running arrows' and I will recycle the
packaging. Thank you Edifier for your earth conscious packaging."
204,Very good sound. Fits well with an adjustable headband.
205,"Bought 2 of these for our children and they look, fit, and sound fantastic! The sound quality is excellent and they don't feel ""cheap"", but they are flexible enough for children to handle. I would definitely recommend them!"
206,"This headphones are a great balance between quality and price. You really can't get better.
Sound is great and though materials are not very expensive, they are good quality and seem durable. The folding design is very convenient."
207,They feel good and give good sound. But I bought them to use on an airplane so we'll see how they work in that environment.
208,"Great design, can carry them in a brief case, adjustable headband is important because of hair (or lack of) for the user. Have not tried for quality yet, but that is not as important for their intended use on airplanes and mobile devices."
209,This is a gift. Haven't given it to my grandson yet but I know he will love it.
210,Work well and price was good.
211,Nice headphones at good price
212,These are very nice and have good sound. My only disappointment is in myself. I thought I was ordering a pair that had volume control and mic on the cord. But they didn't. But they are nice enough that I am going to keep these and just order a 2nd pair with the desired controls.
213,"I got these for working out on a treadmill, and they are perfect! They're lightweight but fit snuggly on my ears. I love them!"
214,"These headphones have great sound quality and are very good looking, but they begin to hurt my ears after using them for extended periods of time."
215,Perfect! Our granddaughter was happy .
216,Great quality sound. Love how clear and loud it sounds. Very light weight and easy to put on. Folds up great for travel and to fit in your bag. I am very happy with these. you will love them.
217,"Good sound and quality, but the on-ear part is too small for the ears"
218,these work great!
219,"They work good. Nothing special, wife likes the color. They r light on your head."
220,"I have tried many different types of ear/headphones, trying to find the right one that suits my needs. And I believe I finally have them! Besides being a great color (purple is my favorite), they are comfortable, have a very good sound, and are easily transportable. Would I recommend them to a friend? You bet!"
221,"I was searching for headphones that are portable, sound good, and are reasonably priced. I am very pleased with the Edifier H650 headphones, they are exactly what I was looking for!"
222,"These headphones work wonderful. The sound is amazing for how small the headphones are. My only complaint is that the part that goes on your ears isnt that big. I like my headphones to cover my ears. However, the sound quality is amazing so they are keepers."
223,"Great headphones for my kids. They bend, fold, flex and take all sorts of handling in stride, whether it’s sitting at the table or being stuffed in a drawer full of toys. The colors are extra fun!"
224,Used these during a difficult dental procedure and they were wonderful! Can't wait to use them again when I am traveling!
225,My son loves these headphones. Very comfortable.
226,"Product arrived as stated and in perfect condition. Opened pkg immediately, plugged into my I-phone, sat back and enjoyed the sweet sounds. Would recommend to friends."
227,"Just a great pair of headphones. Bought for my son, who is always losing his, so the bright orange color was perfect. If he doesn't set them way back on his head, they tend to fall off when he is leaning forward, but that might just be because he's a child."
228,Terrific sound quality
229,Great sounding headphones for this price category.
230,"love them so far. no frills, good sound that keeps me entertained at the office. they are not clunky which is also great for the office (limited space desk and such)"
231,Great headphones.
232,Great sound and they fold to put in your gym bag
233,Love them .
234,"The Edifer H650 are awesome, the quality of these are on point. I could not believe the sound. I have a pair of Bose that don't sound this good. They have a great full range with deep bass. Great for blocking out your surroundings and jamming out. 9 out of 10 rating.
Daniel B."
235,"These sit on the ear instead of around it, but the earpiece is soft. The fold flat and are easy to slip in my carry on. Great sound, even the bass."
236,"They cancel out anything else, my kids love them!"
237,"I bought these for working out, as I don't like earbuds while working out and these seemed compact and streamlined. I was pleasantly surprised at the sound quality, and I hardly noticed they were there during my workout. I might get a second pair for everyday use :)"
238,Quality of sound is poor. Not worth the money. Also received a retuned item from the seller. Returning.
239,I'm enjoying my Birthday head phones. They sound great there not to tight on my ears.
240,Comfortable and inexpensive! I was surprised at the sound and how light they are. I am so happy that I decided on these over the more expensive ones. I will be using these for my summer travel.
241,"awesome! Built sturdy, my 8 year old loves these!"
242,It seems a little small and isn't noise cancelling.
243,These headphones perform well. The noise cancelling is noticeable. The design folds up well. They are lightweight ... will have to see how the design holds up over time.
244,"As described, very satisfied"
245,these headsets are just what I was looking for - small and lightweight. BONUS is the price and they sound great. I would recommend these to anyone looking for an inexpensive small lightweight pair of headphones.
246,"Purchase 6 month ago, its broken. Good sound, light weight, comfortable."
247,Great value.
248,"Been using earbuds but just got a VR system so I thought I'd try some ear phones. These are incredible, clear, crisp sound. Very comfortable and easy to adjust. My wife wants a pair now so will buy again."
249,Perfect for my needs as I now have hearing aids and can no longer use ear buds.. Good quality sound. Good price. Nice fitting. Works with my I-Pod Shuffle and my portable radio.
250,"Wonderful headphones. They are lightweight and their design makes it easy to wear for long periods without hurting your ears. Therefore, they are very goods for my kids too."
251,these headphones were just what I was looking for. I have to wear them all day as an electronic court reporter and they are very comfortable and have excellent sound. they seem very sturdy and easy to adjust.
252,Great priced head phones. Perfect for travel and work great.
253,"Pro - Sound very good, clear with enough bass. Light and comfortable, easy to forget you have them on. Con - cord is thin and a bit short, I worry about accidentally damaging it. Overall, it's a good buy at $20ish."
254,I am extremely happy with the product. I plug into my i pod and the sound is amazing. Absolutely no complaints. The shipping time was very quick also.
255,Broke after 6 months of use. Can't hear out of right ear piece.
256,"Good sound, lightweight design, and comfortable."
257,"Hi, thanks they are light and sound is really really good!"
258,Excellent for my husband to use with his kindle. He has hearing aids in both ears and cannot use earbuds. Most headphones just didn't work. These do.
259,"Great sound, great price, folds down for easy storage, bright orange color is fun and keeps people from talking to me at the gym while I'm working out. Also, they stay on well when I'm moving around a lot."
260,The right headphone stopped working 6 weeks after I bought the item! This product has no endurance
261,"Good fit for a 5 year old. We got these headphones in orange to match an orange iPad case, so he's very happy."
262,"The earcups don's extend very far -- barely get out to reach my ears -- and the sound isolation is quite incomplete. But the the music reproduction is really very good, a large improvement over the iPhone earbuds."
263,Just what I was looking for. Thank you!
264,Nice color and excellent sound plus delivery was quick . Two thumbs up !!
265,"These headphones are Compact, Lightweight and Secure. They fold easily and the cord is not too long or short. Very Comfortable Fit with Excellent Sound Quality!"
266,"Fantastic headphones - especially considering the low price, the sound quality is exceptional. Likewise, the ability to fold them in a way that doesn't feel like they're going to snap is really nice for portability. No complaints whatsoever."
267,Love the design and the sound is very clear. A very good purchase for the price.
268,"The sound quality is good and they seems well made. However, if your like me, they will make your ear warm pretty quickly. If that's not an issue for you, then you should be good"
269,Finally a set of headphones my daughter loves!
270,Bought these for my 9 year old daughter who has gone through lots of headphones. These have held up well and are still working fine. They are sturdy and the sound quality is good for the price.
271,"Fast shipping, good quality headphones!"
272,Bought for my autistic son and they are perfect! Very comfortable and lightweight. Will buy again!!
273,Fits comfortable. Great sound quality.
274,"They are the best head phones I have ever had.
They exceed a pair of Yamaha head phones I bought in 1977 for $100.00"
275,These are sturdy and durable and strong - enough for my 1st grade rambunctious boy to get a full school years worth of use out of them!
276,"Was surprised of the size was smaller than depicted in the ad but it pack a real punch, was very impressed with the sound quality."
277,I bought these for my niece and they look great! I don't know about quality yet but so far so good.
278,Pretty disappointed. Head phones arrived today and only one of the speakers work. Needed them for this weekend during our sons airline trip. Now what.
279,"The headphones are comfortable to wear for long periods of time, and the sound quality is very good."
280,"My son loves them and says they sound AWESOME! Great customer service too, they want to know your feedback on them, so I received a personal email from the manufacturer/CEO."
281,"I really like these headphones. They sound great, and they are made nice and sturdy. I also like how they fold up."
282,"Great for travel in a crowded bus. A lot of noise is filtered out. They are not as bulky as some headphones, and the sound is great. This was a lucky purchase, and I'm thinking about gifting a couple of family members."
283,Bought them as a gift and was told that they are excellent
284,Great quality.
285,"Yes, these are terrific--- it's easy to knock them off at the gym, but they drown out the lunks a bit. Nice sound for the price---"
286,Worked well for 3 hours then the wire came out of headphones..
287,"Good quality. Beautiful pink for a 9 year old. Will be used at school, hoping it will last longer though."
288,"Great headphones! Compact, foldable design doesn't compromise sound quality. Bonus points for having unbelievably good customer service !! Would definitely recommend to anyone!"
289,"Sound is great , happy with product"
290,"I love them so far! Sound is excellent, although it sounded a little strange on my computer but I'm wondering if the video I was watching was the culprit."
291,Awesome sound and awesome comfort
292,My grandson still has small ears and doesn't like the buds. He really likes these. States the sound quality is good too.
293,"Light, good sound, very happy with them."
294,Good sound the bass wasn't so great.
295,"Love it, works great"
296,Daughter loves them
297,"So far so good. I use them for running (don't you hate pushing the buds back in your ear over and over again?) and they haven't disappointed. Good range of sound, stay where they were placed, and very flexible in a gym bag."
298,"Work very well and the sound is excellent, for the money these are great. Daughter loves them for all her audio."
299,Used on airplanes and worked great. Comfortable.
300,"The headphones are comfortable, but the sound goes in and out. Quite annoying."
301,Wow! Nice sound for the price. My ears can only handle the volume at 70 and I'm 27 years old with no sensitivity to sound.
302,"Clarity is very good and size and comfort are perfect.
I would order again if ever needed!"
303,"These headphones come in some awesome colors. Best of all, is how lightweight they are and how amazing the sound quality they have. These are an excellent purchase."
304,I love these headphones!
305,"We like these headphones. They were exactly what we were looking for. We wanted an inexpensive but comfortable set of headphones to use on airplanes to substitute for those very uncomfortable and very poor quality ear bud types that airlines are using more and more often. You also never know just how well they have been cleaned between uses, if at all. These headphones are well made and good quality for the money. Their sound quality was much better than we had expected. They can be folded down to a very manageable size for travel purposes. We also purchased a two-prone converter (for those planes that still use this outdated design) and a small bag to hold the headphones. Our only ""design"" related comment to the manufacturer ... it would have been nice if the extenders on the headphones would have been a little longer to fit over people with larger heads or those with a very full head of hair. They are still comfortable but just a ""hair"" tight even when fully opened. Just a suggestiom. This is not a significant concern I am sure for the majority of people."
306,Great headphones for the price. Use them for walking and elliptical machine.
307,"The headphones are light, sturdy, and inexpensive -- just what I was looking for to use while traveling."
308,They're good!
309,"Great headphones, kids love it"
310,My daughter loves her new headphones. She uses them all the time and has no complaints she says. Thank you!!
311,"good sound quality, fairly compact"
312,These are excellent headphones.
313,"Great sound, very lightweight and adjustable for any size. Don't really like ear buds, found these extremely comfortable (don't even know they are on your head) and block out the background noise."
314,Seems like a great headphone.
315,Better than I expected....Quiet when I use them...
316,Bought each of my daughters a set of these headphones for their birthday. Fabulous value. Great sound! Super cute colors. They have been a big hit.
317,We bought these for our special needs son for Christmas. He LOVES them. They are perfect size and fold up nicely. The sound is amazing and clear. We are very pleased.
318,"Great headphones, the sound quality is awsome, the ear cups are soft and relaxing not pinching. Great purchase for the price paid and quality recieved."
319,"Very happy with these headphones. They are light, durable, and a nice packable size. Great product at a reasonable price."
320,"Amazing headphones. i use them daily and for the price, it has some great sound. If anyone is looking for a cheap headphone to travel around with, this would be the go-to"
321,"great sound, great quality, love the color i will be purchasing an additional pair!"
322,LOVE!! So comfortable
323,"Great sound, good feel, and above average noise reduction just by putting them on. Great value for the price"
324,"Clear sound, durable and light weight."
325,love them very clear. they don't fall off when i go running
326,Used only once so far. Comfortable and great sound quality.
327,everything exactly as advertised.....very happy with purchase.
328,The headphones give adequate sound for their size and price. I was originally led to believe that they had some sound canceling abilities and was told that I would have to spend a lot more money to receive that feature.
329,They fit well and the sound was very good
330,The sound is amazing I may get another
331,"These headphones have been a hit with the kids on our travels. The volume level seems good. The fit is better than the last set of headphones we used for them, which kept sliding off the front or back of their heads. The extension mechanism that allows you to adjust the fit of the headphones is also sturdy and holds once it is set. Other headphones we tried were not reliable that way. The ear pieces rotate and fold inward making them easy to pack away. Happy with the purchase at the price we paid."
332,Light weight. Sound is good.
333,"I just received these in the mail last week and so far I love them! They're way more durable than the earbuds I was using and they're so reasonably priced! Great quality, great product!"
334,I bought these for the kids and they are perfect for them!
335,small sized headphones...great for my 10 year old. fold for travel.
336,Wear while mowing. Love them
337,They are great. My granddaughter was so happy.
338,"Great sound and a perfect size especially for traveling. I've replaced my large earphones with these when flying.
Super price for the quality."
339,Work nice at a reasonable price
340,"comfortable, folds flat for storage and travel, nice sound."
341,My child has only used it once but they fit great and the sound is clear.
342,"Sounds great, comfortable, I ordered another for my son."
343,These work so Great! My kids love them and I didn't have to pay the price of beats :)
344,"Hi, Fabian,
So far, I am happy and satisfied with the two Edifier H650 headphones that was ordered and received."
345,Very comfortable. It blocks the outside sound exactly as described. Highly recommend.
346,Excellent and exactly as described
347,"Got these for my daughter and now another set for myself. Very good product, perfect for us while travelling."
348,Great headphones and wonderful service!
349,Given as gifts to granddaughters. They love them and enjoy the flexibility.
350,Sound good but not very comfortable on the ears.
351,These phones provide great sound for the price.
352,Failed in 64 days !
353,I love them!!! They work great
354,"My daughter loves the orange color. So far, the headphones have worked very well. For the price, the sound quality is good."
355,Great for use at school.
356,"the only thing is, my daughter, who uses this, can't hear me calling her from downstairs....she does love it."
357,Arrived on time. Excellent sound. Quality product for the price.
358,Absolutely love these headphones!
359,Really pleased with these headphones - I carry them around to use with my phone.
360,They are very comfortable and not tight on my ears. Perfect for wearing at work.
361,The headphones work great and are convient to carry around due to folding up. Good purchase.
362,small and easy to carry
363,the only problem it is too small for my ear
364,Base quality is top notch. The feel is different from big headphones though; it doesn't completely cup your ears
365,My son loves them!
366,"Great for the most part, recently the left side has had dip in quality and I was wondering if it could be fixed."
367,Comfortable and good sound quality.
368,Very happy thank you
369,Girly cute and functional.
370,Fits perfect for petite little girls!
371,"Had an issue, but it was quickly fixed by Edifier. These headphones sound amazing! Great customer service from Edifier."
372,I received them quickly and the sound was great. Very happy with the headphones.
373,Flawless transaction. Great quality product. Owner is very nice!
374,"This is what I was looking for. Light wait, fits well on your head. Nice."
375,The sound is very good and they are comfortable enough for a 30 hour audio book.
376,Great and light weight
377,Good sound for the price!
378,These headphones are very comfortable and enable great sound.
379,"Fits snug, great for work out."
380,Light to wear and sound great! Very happy!
381,Daughter really liked them
382,Nice headset.
383,"Good product, great sound."
384,great product for the price
385,"Amazing headphones!

The sound quality is superb and the price to value ratio is excellent!"
386,Great quality especially for the price. I plan on ordering another pair for my husband since he won't give mine back after he borrowed them!
387,Good product!!
388,Good Product
389,Just landed in London and used the headphones on a 10 hour flight. Sound is great and very comfortable.
390,Exactly as described. Works great.
391,"Great buy! Soft cushions are comfortable to wear, adjustable head band. Muffles outside noise without completely shutting it out. Great tones."
392,Great product
393,They sound great and they're comfortable.
394,"Nice and lightweight, they are a little uncomfortable, but they are fine"
395,"Size and color is a lil different than I thought, but it works alright"
396,Extremely good product. Highly recommended
397,THE EARPHONES WORKED VERY WELL AND I AM PLEASED WITH THEM
398,"Sounds great, light weight and I like the way it folds."
399,I have had these headphones for 2 weeks I bought them for my son who ended up using mine. I love them use them at the gym everyday.
400,I bought these as a gift for someone and they absolutely love it.
401,"Used it on a plane trip yesterday and it was light, stylish and worked great."
402,Worked perfectly when I put them on!
403,My son loves his headphones.
404,We are very happy with our purchase
405,Got them for my daughter- she loves them!!
406,Great sounding headphones.
407,Great headphones for the price
408,"Fast delivery, loved the headphones"
409,They sound great!
410,"Extremely comfortable, easy to use"
411,Good sound quality. Comfortable fit.
412,Very good sound and comfortable.
413,Sound is really great and the headphones are very comfortable! Excellent!
414,Love these
415,Excellent quality!
416,"Comfortable, great sound. Good Buy."
417,Great headphones!
418,Great headphones for such a small price
419,Way better than expected for the price. Sound quality is excellent. My wife loves the pink.
420,Great performance and value!
421,Good sound quality and comfortable
422,Nice headphones. Comfortable with quality sound.
423,"I use these headphones every single freaking day! They are amazing, totally worth the price!"
424,My kid loves it 😊
425,Love the color and sound very good
426,"Lightweight, flexible and quality sound at low price"
427,Compact and affordable. Good value.
428,Love these earphones. Very comfy. I bought a second pair.
429,Great headphones!
430,Yes. Love them.
431,These are great headphones! Just what we were looking for.
432,Awesome headphones for the price!
433,"They look great, great size, and have great sound! Great customer service too."
434,Great
435,Great quality for the price!
436,"Great headphones, stand my head while working out and they have great sound!"
437,Perfect
438,My daughter love the head phones..
439,Works very good and very durable..
440,Good size cokforavld
441,"I am very pleased with my purchase of the Edifier H650 headphones. I am an art student and I like to listen to music in class. However, it was a pain to take earbuds out each time the instructor had something to say. These fit well, they sound really good, and they are easy to take along with my to school. I am not a connoisseur of this type of equipment by any measure. However, I do know that they sound as good or better than any similar equipment that I own. I haven't had any problems with durability, but for the reasonable price, I don't sweat it too much. I have recommended this product to other students in my classes and I would do the same for you."
442,good
443,The sound is good. The color is beautiful.
444,Headphones are great.
445,I bought them for my daugther. She loves it.
446,Excellent quality and came fast before Xmas
447,"very comfortable, great sound"
448,"I pretty much like everything about these headphones, especially given the price point. They are super comfortable for hours of wear when I'm studying and as an easily distracted person, I enjoy the amount that they muffle my surroundings. The packaging was easy to open and it arrived on time. I'm not much of an audiophile but the sound quality is really great for my purposes. I also enjoy the way they fold up - I've had other headphones get super bent out shape trying to put them in my backpack, and these fold flat to eliminate that problem."
449,"I am so pleased with these headphones. For such a low price imagine my surprise when I put them on and heard the awesome range of frequencies that provided a beautiful, rich sound. They also reduce outside noises which allows total absorption of the beautiful, clear sound that they produce. Awesome buy."
450,"Nice color, but breaks easily like everything these days."
451,"These are terrible ≈and the seller is even worse. First, they are much smaller than you would think - about the size of airplane headphones. Because the earphone is small, it is not very comfortable. Worse, they only worked in one ear, and we were out of town so we missed the return window. I contacted the seller to see about returning these since they are defective - no response. I will have to take this up with Amazon"
452,"Was looking to find a replacement for my beloved AKG-K404 headphones, which are now discontinued.

The sound on these is decent and they're comfortable, but the balance on my headphones is really bad. The left ear is about 30% quieter than the right ear, which tells me these are pretty cheap if that's an issue out of the box."
453,"I ended up liking the amazon basics headphones better. These felt small on my ears and I don't have big ears. I thought the amazon basics had about equivalent sound quality but were cheaper, more comfortable, fit better and looked better."
