,Reviews,Ratings
86,"I work from a home office and have used a pair of Logitech USB headphones to conduct phone calls via VOIP and listen to music while I work. I travel frequently and my poor seven-year-old Logitech's were completely broken down.First, the good:  the sound from the AKG's is fabulous and although retailing at $150, I bought mine on Amazon for $74.Now, the not-so-good:  the on/off button is between the two cans when they are folded together for storage, so during my first real work use they ran out of juice after about 20 minutes while on an important client-proposal phone call. AKG designers could have placed this button just about anywhere else and it would have been better. The other drawback is a positive feature, depending upon how you look at it. The on-ear design does a great job of sealing outside noises (passive noise cancelling, if you will), which is an advantage while listening to music.  While speaking on the phone however, it provides a sensation like talking with your fingers in your ears. Now, I'm sure this is something I will get used to or perhaps I will talk less and listen more. I know many people who would have bought these for me ten years ago if they knew it would have that kind of impact.",4.0 out of 5 stars
87,"UPDATE: I've just downgraded my review to 2 stars. After a year of using these, one of the ear cups has fallen apart. I'm stunned that they couldn't withstand the same treatment that my previous AKG headphones endured, and now, instead of replacing a wire, I have replace the entire unit.I've had these headphones for 8+ months and I've been very satisfied with them. In that time, I've used them almost every day either at home or at work. My main uses are for music, either connected to a Mac or an iPhone, and occasionally for streaming video. I purchased them to replace a pair of AKG K450s that I loved, but was tired of replacing the cables for. (I'll make a lot of comparisons to my previous wired headphones through this review.)While the sound has not been as good as the K450, it's been good enough. The Bluetooth audio's biggest issue for me is that it favours the low end. It seems to be an issue with the BT audio, as the sound of these is brighter and closer to the character of the K450s when the bypass cable is plugged in. I'm not an audiophile, and listen mostly to high quality compressed music, but I spend a lot of time listening and have been able to enjoy my music with these. (Maybe not as much as with the K450, but ah well.) When using them to watch video, the syncing may not be exact, but it's close enough for casual viewing.Compared to other Bluetooth headphones I'd tried, these were the most comfortable. Understandably heavier than the K450, but just as compact. They sit fairly gently on my head, and I don't feel much pressure against my ears.I think I can usually get between 8-10 hours of listening per charge. Unfortunately, this leads me to my biggest issue with them: you cannot use them wirelessly while the USB charging cable is plugged in. Which means that once the battery dies, you have to choose between continuing to listen with the bypass cable, taking them off and charging them, or wearing them with two cables connected. I'd previously used a pair of Bluetooth headphones that allowed for listening during USB charging, so this was quite disappointing, and the biggest reason why they don't get 4 stars from me.Another minor design complaint is that unlike the K450s, these have mesh over the speaker hole in the cup, and sometimes you can hear that mesh rubbing against your skin and hair.Overall, if you're not looking for audiophile perfection (which I don't think you can yet find in wireless anyway), and like me, you're tired of replacing headphone cables, the AKG Y45s are a good, solid option for on-the-ear Bluetooth headphones. I have no regrets about buying these, despite some annoyances. I can't quite bring myself to give them 4 stars, but I'd give them 3.5 if I could.",2.0 out of 5 stars
88,For  a bluetooth stereo headset this one is fantastic.  Hubby is an audiophile nut job and I can't begin to state how much money he has spent on 'cans' over the years. Oh I could but I'd just start thinking about all the things that money could have been used for.  These are the only bluetooth wireless headsets that he will alllow to adorn his big noggin with when he's away from the high end toys that of course use oxygen free cables ..I think that's what he called them..anyway this is a great headset...,5.0 out of 5 stars
89,"I usually use a pair of grado SR-60s at home which I love and think are well balanced for my taste music I like (indie, classical, 60s soul, some IDM). Those don't work for the office because of the open air design, so I use Standard apple earbuds. At first seems these seemed overly bassy and a little muddy, but after a couple of days realized I was probably used to tinny Apple earbuds, and pairs really fast with iPhone 6 iOS10, all button gestures work well. Everyone has already mentioned that these sound good, so I will mention that they block sound in my office well (half the reason I got them). They are a little heavy but I got used to that quickly. Battery is still going after the first charge 3 days ago. Bag is neoprene. When used with included cord, sound the same to my ears. I tried a pair of $400 Bluetooth Beats at target and really don't think they could be worth the extra $280, especially because the music most people listen to is probably compressed anyway. My only negative is that they don't fold much for being foldable, and if they lie flat around your neck, the speakers point up which is distracting if taking them off for a quick conversation. The power button is also easy to hit when folding for storage. These are minor complaints. Considering most reputable brand BT headphones are $70-100, at $119 these seem like a nice step up from overly bassy Skullcandy and a much cheaper option than Beats.",5.0 out of 5 stars
90,"I looked for high quality sound, folding on-ear, comfortable,  wireless Bluetooth, professionally built, with NFC that can be used on both phones, tablets or comps and I have found the AKG Y45BT.  The quality of the of the headphones sound is awesome! The frequency range is  amazing. Unlike many other headphone, where the low frequencies are  artificially amplified, so the ""bass"" sounds strong, here with the AKG Y45BT, the low frequencies are NOT too loud but CRISP. Other famous brand name sells a similar headphones for a price twice higher. The extra charge in this case is for its name only, not for the compared quality of sound and specifications. So buy smart.",5.0 out of 5 stars
91,"I bought this recently.  Tried it on for 2 day, and ended up returning it.  (Amazon return policy is excellent btw.)  I found the headphone uncomfortable to use, after ~30min of wear.  I have a small head and I've found the headphone to be squishing my ears.  I think my next pair will be over-the-ears.  For what it's worth, I do like the product styling, the material finish is solid, and great sound quality.  The BT pairing was a breeze.  The volume quality will take some getting use to, to locate the buttons, but heck, I only had this headphone for a very short time.  I'd consider buying AKG again.  (I had a pair of foldable wired headphone before... I just wanted to a wireless pair)",2.0 out of 5 stars
92,"When im looking to buy something it usually takes me a while to make the purchase. it could take ""literally"" a good month before i do. i read reviews after reviews in order to make my decision. one thing i read about them was that they were a bit heavy at the time of running but i still went ahead and purchased them.  i LOVE THEM!!..  when i do rope pull downs abs they tend to slide down towards the front but i secure them back in place with my fore arms and it is all good. i could not be any happier with them. great noise reduction, i go to the gym for about 1 to 1 1/2 hours 5 times a week plus i leave them in my car (sunny south fl) all the time and the battery lasts a LOT. ive probably  have charged them maybe a good 5 times since i got them, they never disconnect me from my iphone. love love them...",5.0 out of 5 stars
93,"I love these headphones!  I'm a headphone kinky and have just about every headphone you can imagine.  These are definitely one of my favorites.  The sound is clear, well balanced, and it does have a little extra in the bass department as well.  The blue tooth connects very easy and the range is impressive.  These are very comfortable.  They're light weight and fit nicely.  You can wear them all day and they don't hurt your ears at all.  For the price range you can't go wrong.  There are better sounding headphones but you're going to pay the price for those.  If you're looking for some fun awesome headphones that won't break the bank I highly recommend these.",5.0 out of 5 stars
94,"For the price, a wonderfully entertaining and exciting pair of cans. Not analytical, and I wouldn’t monitor with them, but for enjoying rock, pop, electronic, or fast/aggressive jazz these things slay. Tight punchy bass and a strong midrange do wonders for their “rhythmic” sound.",5.0 out of 5 stars
95,"No this review is going to be based off of a first day experience. I would not have a full thrown out review posted right now, because the headphones I just received. But from the first 4 hours only these headphones, I can tell you they've been amazing. The weight of the is acceptable, and they have this cushion that isolates the majority of the noise outside and keeps a rich sound with them.",5.0 out of 5 stars
96,The headphones themselves are great but there is a delay when using BT devices with video. Fine with audio.,4.0 out of 5 stars
97,I've compared these to some beats solo 3s that i have and although the beats were louder I like the overall sound quality better on the AKG's. (The volume is still great just incase you were wondering.) 100% buy these,5.0 out of 5 stars
98,"I bought this bluetooth headset about a year ago. I really loved the sound quality and light weight of this unit. The battery stays longer than i expected.This, however, has cons such as unreasonable location of power button that many reviewers mentioned.Also my volume + button doesn't work when it was pressed. It has to be hold and slide to left or right to work. Perhaps I received fauty unit?This unit comes with soft carrying pouch, so it is somewhat vulnerable to damages. The joint of right ear cup popped out during my vacation while i carried it in my backpack.Overall this is decent headsets with great sound quality and disappointed built quality. I recommend this, but make sure you get a hard case as well.",3.0 out of 5 stars
99,"The AKG Y50BTs are amazing! Great amount of lows, mids and highs are very clear, super comfortable for long listening sessions, great battery life, quality build, aluminum side plates, folding design, carry pouch included. Highly recommend for the price! Would buy these again over Beat Solos!",5.0 out of 5 stars
100,"These cans are amazing. Better than my Bose by a mile, no matter if you’re connected wirelessly or with the wire. Snug fit, but not too tight. Noise canceling. Excellent sound—none of the tones get washed out. Highly recommended if you are truly serious about your music listening.",5.0 out of 5 stars
101,"These have the best sound of any Bluetooth headphones I've tried. Battery life,range and comfort are great. The problem starts when you fold them away. The Bluetooth activation button rests directly against the other ear piece. It is the reason I've had a flat battery after only a few hours of listening.",3.0 out of 5 stars
102,When I got my Samsung galaxy 8+ I got the bundle included. That's the V.R a memory card and the AKG and i tell in love with The headphone battery life is excellent one full charge would last me a day in a half or two without being charged. I just love the headphones.,5.0 out of 5 stars
103,"All good except the power button. The headphone will turn itself on when you fold it, since the power button will be triggered 9 times out of 10. That really is a bit annoying.",5.0 out of 5 stars
104,Had the same problem with BT noise as most of reviewers across the Internet. Noise is noticeable and irritating. Returned them and got Plantronics Backbeat Sense.,2.0 out of 5 stars
105,"I love these for when I workout. Only had them for a little while, hope they last, great sound.",5.0 out of 5 stars
106,"Great sound, connects easily to Bluetooth and the battery last for a full day of use easily.I am only giving it 4 stars because the wired cable that comes with it to connect to your device is not the standard.  The end that connects to the headset is unique so you can't just use any 3.5mm cable you have lying around or buy any type from a shop.If you only need it for Bluetooth connection, then it will suit your purpose. But if you also wish to listen via the wired cable or if the battery is dead and you are not in a position to charge it, you need to be aware that you can't use any type of 3.5mm cable.Charging is also quick and you can also charge with a portable charger when out and about.",4.0 out of 5 stars
107,Great battery life crystal-clear sound only problem I have is when I put them away they turned on again because of the on button  but other than that really great,4.0 out of 5 stars
108,"These headphones are Fantastic. I have used these for 2 years. The battery life is good and the sound is phenomenal. I currently use them with a Pixel 2 XL, MacBook Pro, and iPad mini 4.",5.0 out of 5 stars
109,"The sound is loud but the bass is not strong enough. There's no forward or reverse button on the headphone... However, overall is good buy.",4.0 out of 5 stars
110,Love them.,5.0 out of 5 stars
111,"These headphones are so accurate and crisp when it comes to sound, and the bluetooth? Amazing, it has quite the distance without being choppy or losing sound.",5.0 out of 5 stars
112,"I highly recommend these headphones. The sound quality is rich, has good bass that's not overwhelming, and is an overall great value for its price.",4.0 out of 5 stars
113,The best bt headphone by far,5.0 out of 5 stars
114,"Best bluetooth headphones in this price range. The price cannot be beat for this quality, the leather padding is soft and luxurious while the sounds are crisp. Love them.",5.0 out of 5 stars
115,I am using it well now. My head is big and it hurts a little when I use it for a long time. I like music performance very much.,5.0 out of 5 stars
116,"Who need Beats, these headphones are excellent!  Don't use them if you need to be aware or commuicate wit someone, you will not hear them, the noise cancelation is just that!  Pure sound and nothing and no one else!  Updates happy spot up for a few months and and now they are defective the cushion fell off I tried to contact the seller several times but it goes straight to voicemail these headphones are not cheap and I believe that the seller should at least answer my calls",5.0 out of 5 stars
117,"I'm totally amazed at the sound quality of these headphones.  I do hear a slight hiss which I believe to be coming from the amp in the headphone when it gets a signal from the phone and activates, but the overall sound quality is clean and crisp, with clear detailed sound through out the range, can't really say that it sounds forward or heavy to any degree.  I'd call the sound neutral but dynamic, and not so much that the bass is over done, but think of it like a system where you have large woofers, and even bigger subwoofers, however, these are tuned, so the bass has impact, but it's not boomy/bloomy, it goes deep with detail/texture.  I wasn't expecting sound like this, and again it's so clean over Bluetooth, I use these with my phone, my desktop and two laptops, and all of them are in sync when watching videos, so no BT lag, or it's minimal enough to be a non-issue.  I believe that for this reason, they work really well with Gear VR (they advise that you use wired headphones).  I got these for $119 or so, and they're worth every penny.",5.0 out of 5 stars
118,"Have had these for about 3 months, only using them a handful of times. The battery in the headphones stopped charging so now the Bluetooth function is useless.",1.0 out of 5 stars
119,GOOD!,4.0 out of 5 stars
120,"Worked well for 5 months, but the left ear cup stopped producing noise completely one day and won't work anymore when wired in through a 3.5mm and only with BT.",2.0 out of 5 stars
121,"Great headphones, the buttons can be pressed accidentally when folding.",4.0 out of 5 stars
122,"Great sound, comfortable and I like that they can lay flat when they are around my neck.",5.0 out of 5 stars
123,Great sound easy to hook up,5.0 out of 5 stars
124,"Decent headphones, but not the loudest headphones in the world.  I have other bluetooth headphones that generate higher volumes and less overcompression...  Sound is not as rich as they could be.  After listening to everything from classical to jazz to hip hop to rock to pop to German heimat music, I find the headphones lack depth of sound.  While this is not uncommon for bluetooth headphones, due to the data compression, they are far weaker than comparable sets made by JBL (one of their sister companies) and SOL Republic....  Nobody's perfect....",3.0 out of 5 stars
125,"Sound is fantastic and extremely clear, super comfortable to wear, and look pretty slick too.",5.0 out of 5 stars
126,"Nice sound, but too much bass for my taste",4.0 out of 5 stars
127,Awesome!,5.0 out of 5 stars
128,"This is my first set of bluetooth headphones and I love em. I wouldn't call myself an audiophile, but I do like clear sounding headphones that balance out the range of tones well. The bass feels hefty and the voices clear - the sound is very well balanced overall(especially for it's size and pricetag). I've owned a pair of V-Moda crossfades and while this doesn't reach that level of clarity and depth, it's half the price and doesn't make me feel like I have a pair of weights on my ears.I was hesitant at first because I've only owned over the ear headphones before and didn't know if I would like the fit of on the ear headphones. But in the end, I like these better than the V-Moda set as far as comfort and wearability goes. It's something that I can take pretty much anywhere I go and don't feel I have to watch over it like an overprotective parent.I haven't run into any troubles with the bluetooth as far as pairing goes(I've used it with my iphone, my macbook. and a surface pro no problem). The range of it is about 20-30 feet and works well between rooms. As far as the fit they're pretty snug - I haven't had them fall off accidentally once. But I haven't done any strenuous activities like jogging or bootcamp with it, but for everyday use it works just fine and I'm sure I could wear them around the gym as long as I'm not jumping around a lot. Would highly recommend",5.0 out of 5 stars
129,"Great sound, 'nough said :)",5.0 out of 5 stars
130,primarily using the head phones with my surface pro 3.  they are easy to transport and work perfectly.,5.0 out of 5 stars
131,Low quality product,1.0 out of 5 stars
132,Good quality and sound!,5.0 out of 5 stars
133,"Rich bass and mids, no regrets about this purchase",5.0 out of 5 stars
134,Love these for work!,5.0 out of 5 stars
135,"In the past I've had a lot of issues with bluetooth/wireless headphones.  I took a gamble with these and they've exceeded expectations.  I've never had any sort of connection issue, they're easy to pair to any device I've used them with (multiple smartphones, multiple laptops).The only complain I can think of is that the power button was poorly placed and when the headphones are folded a certain way the button is pressed often.",5.0 out of 5 stars
136,"Even I returned these headphones I think they are great sounding . I didn't find those headphones very confi. but that is me,can't stand small headphones over my ears. Also on and off button way to sensitive to touch. Battery life is great and dual ability to connect wirelessly or via wire",5.0 out of 5 stars
137,"The fit is perhaps a bit too snug. While this is good for a while, and feels secure, it eventually gets tiring on my ears. Or maybe my ears just stick out too far... A bit pricey for headphones.",4.0 out of 5 stars
138,"This product worked so well for my son the first year, but unfortunately for him the headphones started acting up 2 weeks after the warranty ended.  Buyer beware!  Oh also the foam around the ear fell off immediately but I could fix that myself.",1.0 out of 5 stars
139,I found this set of headphones a little on the heavy side. Also it feels quite warm after some usage. The on-off button is easy switched on (due to the location) whenever I fold the headphones. Won’t recommend if you’re particular about weight of headphones.,3.0 out of 5 stars
140,Would not connect to my iPhone 7 Plus so I returned them.,1.0 out of 5 stars
141,These are some of the best headphones I have ever bought. They are super light and sound amazing.,5.0 out of 5 stars
142,"These are some great headphones. They are really good quality, the battery it's excellent, it lasts me three days, and if I forget to charge it I still have the cord.The only bad thing is that when you close them up, the headphones can turn on because the button is bad placed. Overall, great headphones.",4.0 out of 5 stars
143,five stars,5.0 out of 5 stars
144,Work perfect. No issues. Nice sound,5.0 out of 5 stars
145,great sound,5.0 out of 5 stars
146,Great sound. Nice price.,5.0 out of 5 stars
147,"Delivered fast and safe.Sound quality is great as well.It would have been better if there was a black model of the same price, but I am satisfied.Thank you",5.0 out of 5 stars
148,It just what I expected.,5.0 out of 5 stars
149,I'm not quite satisfied with blue-tooth settings. A sound via wire could be better for that price. But it's nice design.,4.0 out of 5 stars
150,"Low quality, has a white noise when used without wire.",1.0 out of 5 stars
151,Great product,5.0 out of 5 stars
152,"It's solid , super sound and fits nice",5.0 out of 5 stars
153,Love it works great for me,5.0 out of 5 stars
154,Excellent quality,5.0 out of 5 stars
155,Have a good quality!,4.0 out of 5 stars
156,"First off let me say that I really love these headphones even though they do have a couple of catches. First as other have said they are a little on the heavy side, not so heavy that they will make your head sore but you will definitely know they are on your head when your are moving around. The second, which I'm not sure is the headphones fault or my devices, but the audio play back can be choppy sometimes. I have found a fix for this on my computers, you simply have to reset the Bluetooth module then reconnect the headphones. After doing so I don't have any of the choppy audio or hissing. You can do this on a mac by holding down option+shift and then clicking on the Bluetooth icon in the task bar, going to debug and then reset Bluetooth module. On my windows computer I don't have this issue with Bluetooth. Besides these two issues the headphones have amazing sound and the battery usually lasts around 22 to 23 hours, or four days of casual use. I would recommend them to anyone unless you plan to use them while exercising, in which case I would look for something a little lighter.",5.0 out of 5 stars
157,"Good sound.  Two annoying reasons for the 2 stars:1.  When the battery is about 20% low, it will beep every minute.  It took over an hour for the battery to drain which means over 60 beeps as I'm listening to music/podcasts.2.  Switching devices, I have to manually connect the headphones to each device.I posted on Harmon's support about the first issue about a month ago.  Still no reply.  I guess you can add great support to the list above.",2.0 out of 5 stars
158,"Great sound quality, but they aren't noise cancelling. They're on ear & not over ear. Never thought having NC headphones was a big deal...It is.",3.0 out of 5 stars
159,"The sound does not disappoint. The only annoyance is that I have to restart the bluetooth when jumping between youtube videos. I am using a 2006 computer, so, it could be just that. They are not as comfortable or adjustable as the semi-open. They do have a little weight but you forget about that once the sound starts.",4.0 out of 5 stars
160,"You hear the trap sounds from drummer Harvey Mason, those little incidental noises he makes as he moves around his kit in Herbie Hancock's Chameleon. You also pick out the hammer strikes as Esbjorn Svensson plays piano with his trio in From Gagarin's Point of View.The Y50BT 'phones put you in the control room with the engineer, listening to studio performances as the musicians lay them down.They reveal all the drum trap and piano hammer sounds, plus everything else, very cleanly. And they have very balanced bass, realistically present without thumping the heck out of me. Mids and treble are balanced too.I'm perhaps a bit pickier than many people, having been a professional keyboard player and the guy who fixed the band's sound system in my younger years. I also did my share of studio recording in those days, and I've written and produced scores for my own documentaries more recently.Y50BT headphones may lack the convenience bells and whistles of other Bluetooth 'phones, but I'll take their good sound every time.",5.0 out of 5 stars
161,"Great sound, great with Bluetooth. A little on the heavy side.",4.0 out of 5 stars
162,It was not the headphones that I purchased. I purchased the Bluetooth headphones without the need to use a plug. However I received the normal  AKG Y50 Black On-Ear Headphone with In-Line One-Button Universal Remote/Microphone. I am not happy at all with the purchase.,1.0 out of 5 stars
163,very good,5.0 out of 5 stars
164,"Over the years (58) I must have bought at least 20 pairs of headphones at reasonable prices and rating, These headphones top the lot, amazing musically with depth and spot on bass, they are comfortable over a long period and look so good, added to that the blue tooth compatability they are with out doubt the best purchase to date, so much so, my son tried them and immediately bought some too.",5.0 out of 5 stars
165,"These headphones are surprising. I'm going to do a comprehensive review on them since there is probably a lot of interest from the Samsung Pre Order.Design :Design is nice. The headphones are plastic which I don't mind, and fit very comfortably on the ear. There is nothing uncomfortable about them when you wear you can wear for hours. However if you're going out for a walk or something these may be a bit bulky and awkward to wear out but then again that's style related. I usually feel odd wearing more than earbuds when I'm out and about. I'm disappointed they use micro usb. Anything new and premium should have USB C and it should have the port covered. I've written many head phone reviews in my day and the open charging port always annoys me as it cuts the life of the cans short. It does have a bypass cord and so the cans can be used blue tooth free which is always nice. I sure love having a headphone jack.Sound:I'm giving these a 7 out of ten for the price range. They are clearly bass oriented and that annoys my inner purist. I saw people complaining it needed even more bass. People, let the studios mix the songs k? The mids can get washed out a bit but that's nothing a good equalizer can't fix and the highs and mids and lows are pretty evenly proportioned considered the low end tuning. I think for most people these will be sufficient boom unless they literally just think ear rattling means quality.Volume on these depends on what you're using. They're moderately set up for hi fi so don't expect much of you're streaming Pandora. You may need to get some losses audio or try a higher fi streaming service like Tidal. You will get a much fuller louder sound if youre actually listening to lossless. That's why sources are important. It works with Pandora but it will be weak and you didn't get these bad boys to listen to A Thousand Years right? So download some lossless. You know you want too. They really perform well with the hi fi source material.Battery Life :Battery life is decent. It could be a bit better, but it gets the job done. Depends on end user usage. The bypass cable will make sure you won't end up having to talk to anyone on the bus though.What You Need To Know:Akg is a reputable brand but it does tune closer to the low end. These have a great sound with lossless audio. Charge them carefully. They also come with a bag. For the price they are a pretty good deal and are more for beginner base heads. If you're purchasing out of pocket you may want to see what else is out there first, but if you want reputable blue tooth cans now than this might be your jam. I don't think you'd regret the purchase, but there are a lot more headphones in the sea at this price range.",4.0 out of 5 stars
166,It doesn’t work at all. :(,1.0 out of 5 stars
167,"I just got my set through the Samsung $99 offer and I'm pretty impressed by them. Has good bass but not over bearing.Volume is good enough for me, I don't know how loud others want their music.The soft pouch is a nice touch, would prefer a hard case for the headphones and the cables but it will do.",5.0 out of 5 stars
168,"So right after I bought these upon recommendation from my headphone-studying buddy, they went down in price. Oh well, I jumped in the world of Bluetooth with these after looking at Beats and others. These sound great, are easy to set up and look pretty cool. I am not an audiophile, but I know what sounds good. These sound great. Remember to push the on button only once instead of what I did and hold it down. You can hear the ""on"" and ""off"" beeps. Anyhow, I am testing these on a long flight this weekend, so we'll see what happens! These are comfortable, too. LOVE not having a cord. I recommend!",4.0 out of 5 stars
169,"First off let me say that I really love these headphones even though they do have a couple of catches. First as other have said they are a little on the heavy side, not so heavy that they will make your head sore but you will definitely know they are on your head when your are moving around. The second, which I'm not sure is the headphones fault or my devices, but the audio play back can be choppy sometimes. I have found a fix for this on my computers, you simply have to reset the Bluetooth module then reconnect the headphones. After doing so I don't have any of the choppy audio or hissing. You can do this on a mac by holding down option+shift and then clicking on the Bluetooth icon in the task bar, going to debug and then reset Bluetooth module. On my windows computer I don't have this issue with Bluetooth. Besides these two issues the headphones have amazing sound and the battery usually lasts around 22 to 23 hours, or four days of casual use. I would recommend them to anyone unless you plan to use them while exercising, in which case I would look for something a little lighter.",5.0 out of 5 stars
170,"My best sounding headphones by far are the AKG Y50BT, which came with the $99 Samsung promotion.  Their frequency response curves are sick; basically flat across with accents just where you want them.  Such excellent lows, and balanced very well.  Mid - excellent.  Highs - excellent.  Way, way better that 20hz to 20khz would suggest.  But I can't wear them long.  They're not uncomfortable.  I can wear them longer than other non in-ear headphones.  I actually thought they were light when I first tried them.  But I can't tolerate non-earbud headphones very long.Useful headphone reviews need comparison.  The Samsung AKG OEM in-ear, Advanced Model 3, and AKG Y50BT are my 3 go-to high-fidelity headphones.  I get different things from each, and each are brilliant in their own way.I love the Model 3s, but these beat them in every category except comfort.That said, Model 3s have a powerful low end and high highs (on part with in-ear AKGs),  They're convertible wired to wireless.  Sub is almost too powerful, which can mask the bass on some songs, but they're otherwise pretty well balanced.  Soundstage is not as open as AKG in-ear, but bring a different dimension in hi-fidelity sound.  They sound like high-end monitors when you get a good ear bud fit (silicone works much better than foam for me).  And they're bluetooth which frees me when doing chores where the cord doesn't snag every few minutes.I also want to acknowledge how excellent the Galaxy S8+ original AKG in-ear buds are!  Excellently balanced with a nice low end and excellent high end (I can't distinguish highs from these AKG Y50BTs), beautifully engaging and open sound stage, no fuss fit, great sound seal without being isolating, anti-tangle cord... I could go on and on.  The in-ear AKG's are so good and very underrated, despite their decent reviews.Still, AKG Y50BTs are better in almost every category except comfort and soundstage (openness).  $130 is a very fair price for the sound you get.",5.0 out of 5 stars
171,"Ive  got about 15 pair of headphones ranging from Bose soundlink on ear headphones to Polk hinge to  Jbl50s , Monster Adidas ,Sol Republicmaster tracks, Airfi . Id say my favorite is the Adidas for over the ear. Better base and nice tone. The Akg is my favorite on ear the highs are clear and not exaggerated like the Republic sols the Bose on ears are one of my least favorite headphones, I  prefer the Polk hinge even over the Bose soundlink. The most interesting comparison to me is the Jbl 50s  and the Akgs i think the sound is very close with the highs being better on the Akgs where the base is better on the Jbls. Though i will prolly usually the Akgs more because they are much more comfortable then the Jbls,Though im betting anyone that has the Jbls 700 elites wouldnt touch the Akgs.. I paid 58 dollars for my Akg y50s. So im not sure compairing them to a 300 dollar pair of headphones is fair, The build quality seems good in a world of plastics. Id still like to get some Sennheisers hd 4.50 bluetooth, but until i do when Im out and about my Akgs will have to do and at home my Monster Adidas. What genre do i listen to? 80s Megadeth , Dokken to REM, The Outfield to Depeche Mode to the Bangles.",4.0 out of 5 stars
172,"I really like these headphones a lot. They have great sound quality and are very comfortable. My only complaint would be that when you fold the earpieces in two-story the headphones in the bag that they come with, it has a tendency to have its power button hit by the opposite your phone. It's never really run down my battery, but it is Annoying when I noticed that I'm not getting any notifications on my phone because all the sound is going to the headphones. That's the reason for only giving it four stars.",4.0 out of 5 stars
173,"Pros; deep bases and Clear Highs, these headphones work very well, connect quickly, and are not heavy feeling..Cons: No  way to turn off and stay off, Blue tooth will turn on the headphones and connect when ever they are moved, shaken, nudged,  its very annoying when you try an answer a call on your phone, or listen to a voice mail, only to find out you cant hear anything because, their deep in your back back, have turned themselves on, and have kidnapped your audio. (specially if you're an Uber drive, Or do Grubhub/postmates, or anything you need to listen for alerts).",4.0 out of 5 stars
174,"I received my set in a Samsung Promo.  That said, I probably wouldn't have spent $130+ simply because I tend toward wireless earbuds or wired over-the-ear headsets.  This has been an interesting combination.First off, coming from someone who hates the on-ear feeling, these are pretty comfortable, even over longish periods.  If you are okay with that kind, these would probably do great for you.Wired and wireless quality seem pretty close, the signal is also very strong for bt 3.0.Battery life - I've never had any issues with the battery life or charging time.The only issue I have (and I'd ding about half a star) is the EXCESSIVELY aggressive connection.  The location of the power button leaves it prone to turn itself on should it get jostled.  When on, it will connect to a device in range and hold the connection.  If you disconnect it from the device, it will forcibly reconnect itself in a minute or two, overriding any other connection.  The only way to stop it is to un-pair it, or actually turn them off.  This is a major problem for myself as I typically keep them packed with my laptop and are usually nearby, and regularly I have my phone hijacked from use with my earbuds or car.AKG - move the power button or make the headphones let go when they are forcibly disconnected in future versions.  This is absolutely my only complaint.",5.0 out of 5 stars
175,"So, I hardly paid anything for these thanks to the Samsung dream bundle for preordering my Galaxy s8. They are absolutely fantastic. The earcups and headband are metal and don't feel like those cheap...ahem; Apple-owned competitors! Now for the sound. It took a couple hours at higher volume, but I think they are finally settling in. They sound really clear, despite being wireless. Yes, they also hit pretty hard with deep, pronounced, not overpowering bass. Just all-around great sound for any genre of music. I can't even tell they're bluetooth: no compression nuances or annoying pinging, like some older Sony's and Phillips I have owned. The only downside I can find are they make my ears hot due to the enclosed earcups design. But, small price to pay for really good sound. I think the full price here is right on par with how they sound. I'm now curious about how some other AKGs stack up against my Sennheiser gaming headset. If anyone has recommendations for some AKG audiophole open backs, please share your opinion",5.0 out of 5 stars
176,IT'S GOOD FOR YOU!!!!,5.0 out of 5 stars
177,"I have AKG Y50BT in Blue, Plantronics Back Sense in Black, Creative HITZ WP380 To me for joy of the song (Back Beat Sense) If you wish WOW on all Notes (Y50 BT) very good, For each day I like my (Creative) This is out of wireless Headphones I Have.",4.0 out of 5 stars
178,"Great sound off the back; sounds even better after 20hr burn-in; also can distort when turned all the way up.  Solid weight, love the solution of tapping the power button once to turn Bluetooth on and off.  Also, to avoid engaging power when collapsed just fold as in pic provided.  Sounds depth seems to diminish when using the audio cable which says they were designed for Bluetooth use.  Quality is near equal to Beats Solo 3...Solo 3 produces brighter highs in my opinion but the Y50bt seem to have better sound stage.  Overall very satisfied!!",5.0 out of 5 stars
179,"Just bought these the other day. If the battery claims are true, this is probably one of the best on-the-go Bluetooth headphones. I'm a huge fan of AKG's to begin with, so I'm familiar with their quality. The response is pretty flat, which is good compared to the bass heavy options from Beats. You're still able to get these bumping, but when songs don't have heavy bass or if you're watching a movie, you want a true reference of the sound, not an overly equalized, bass heavy monitor.The fit is very comfortable and even with my big noggin, they don't look dinky. The cup fits on the ear and has a snug tension around the head to keep them in place. These are going to be perfect for all day use at work (of the microphone is good on skype, will have to evaluate that) or for travel.",5.0 out of 5 stars
180,"If I could, I'd give these headphones a 10! I am not an electronics whiz so this review probably won't answer any of your more technical questions.The sound these headphones give is just awesome!! I even let my husband listen to a song and he feels the same way I do! I've had many headphones and ear buds in my time and these are honestly the best!  I love the fact that they are Bluetooth. At night, listening to music in bed, there is no wire to worry about. I can have my phone in the charger and listen to my music, wire free.They come with a nice ""case"" to carry them in, along with the charging cable and a cable you use with a non-bluetooth music player.The left side has the charging port. The right side has the on/off, pairing, and volume buttons along with the port for the 2.5mm cable. These are lightweight which I really appreciate!  Other headphones we have feel so heavy and bulky.My headphones are the white & gold and they are very classy looking! I love the color!!  These are rather pricey headphones but as the saying goes, ""you get what you pay for"" although that isn't true 100% of the time.  In my opinion, these are worth the price!",5.0 out of 5 stars
