,Ratings,Reviews
288,5.0 out of 5 stars,Works well.
289,5.0 out of 5 stars,wife loves them.
290,4.0 out of 5 stars,"These are especially good in the gym where ""ear buds"" are uncomfortable and activity can dislodge ""over the head"" style headphones"
291,5.0 out of 5 stars,Arrived as promised and in excellent condition
292,1.0 out of 5 stars,Dont' like them. They are not adjustable.
293,5.0 out of 5 stars,I bought these for my g/f as a replacement for a similar pair of headphones. She seems to really enjoy them.
294,5.0 out of 5 stars,Best headphones for running. They do have a wire but I dont care. I run everyday and these things last me 3-4 years. Love them!
295,5.0 out of 5 stars,These earphones are the best in the world!
297,5.0 out of 5 stars,"I bought these headphones for my 7yr old. He likes listening to his Ipod and using it for his DSI/XL. He has gone through so many headphones and dislikes the earbuds, so these headphones have been a pleasure for him to use. They are durable and he says they are very comfortable. Pleased with the product and the cost was well worth it."
298,5.0 out of 5 stars,"As pictured, good sound quality, arrived quickly and without damage, would recommend."
299,4.0 out of 5 stars,"Liked it - was looking for a Bluetooth headset and bought this by mistake - but, it works just fine."
300,5.0 out of 5 stars,Great for working out.
301,4.0 out of 5 stars,Granddaughter love them
302,5.0 out of 5 stars,"Great for the price. Comfortable, stay on firmly, and the sound quality is great for a $15 headphone. I use them with a DAC (Fiio E6) which really brings them to life."
303,5.0 out of 5 stars,They're a great fit!
304,5.0 out of 5 stars,"Man can I get a nother set, yes, and soonMan do I love these at work they don't slip off my head while working. That is always a bonus."
305,5.0 out of 5 stars,Really like mine so ordered some for my wife. She likes them too.
306,5.0 out of 5 stars,Great headset. Comfortable.
308,5.0 out of 5 stars,"I love these headphones. They are light weight, not tight on the ears, and the one chord from the ear pieces to the plug is just long enough to reach my phone without tripping me up. You can hear the sound even when you're not wearing it, so a quiet bus ride might get you some looks but great for the gym!"
309,3.0 out of 5 stars,Old school style
310,4.0 out of 5 stars,little rough on the ears after a long run. but cant beat it for the price
311,5.0 out of 5 stars,These are exactly what I was looking for. They sound great and no one can hear what I'm listening to. They don't hurt my ears and they don't mess up my hair. :)
312,4.0 out of 5 stars,"Hurt my ears a little after wearing them all day, but great sound for what they are."
313,3.0 out of 5 stars,They don't fit well.
314,3.0 out of 5 stars,falls apart really easily - they work and they are cheap - but they do fall apart- the felt on the ear pieces continually fall off
315,3.0 out of 5 stars,They worked for a bit
316,5.0 out of 5 stars,"They fit great and they are nice for working out as they don't bounce around. There is just one cable (instead of 2, 1 coming from each side) which makes it less bulky and more comfortable. I can't talk about durability yet, I've only had them one week."
317,5.0 out of 5 stars,I've bought 3 pairs of these headphones over the past several years. They last a long time given the price. They're great for exercising or everday use.
319,5.0 out of 5 stars,Would order again!
320,4.0 out of 5 stars,Good sound. Not as good quality as they used to be a few years ago but worth the cost. Cord could be a little longer.
321,5.0 out of 5 stars,"The work great and they are cheap...
What else can you ask for?"
322,5.0 out of 5 stars,love are very easy to wear
323,3.0 out of 5 stars,Kinda cheap for a Sony product...but they get the job done.
324,5.0 out of 5 stars,Comfortable and good sound. I use hearing aids so I can't use ear buds.
325,5.0 out of 5 stars,My favorite headphones for running. I've tried a lot and these fit the best and provide good enough sound for exercising.
326,2.0 out of 5 stars,"Pretty disappointing sound from these headphones. I know they are not spendy but I expected more sound. They are to quiet and if there is any ambient noise going on around you, you'll barely be able to hear anything out of these."
327,5.0 out of 5 stars,"I can wear it to bed, in the car and out to eat."
328,5.0 out of 5 stars,works great
330,5.0 out of 5 stars,a+
331,5.0 out of 5 stars,Yea.
332,5.0 out of 5 stars,I'm happy with the quality of these headphones and I can't find this style in stores anymore in my hometown!! Thanks again! !!
333,4.0 out of 5 stars,Fair stuff
334,5.0 out of 5 stars,Lightweight and effective. Great for cycling and working out.
335,5.0 out of 5 stars,my 13 year old loves them and this generation is picky about thier headphones
336,5.0 out of 5 stars,"Really enjoy this product while exercising.
Thanks"
337,5.0 out of 5 stars,Excellent quality and fast delivery. No complaints.
338,3.0 out of 5 stars,Takes some time to break in. and look out it shorts out easy.
339,5.0 out of 5 stars,Just the thing to make note booking peaceful.
341,5.0 out of 5 stars,Bought these for my Mother who listens to her Sony Walkman late into the night. She complained about the regular earphones being uncomfortable but she loves these. I will probably order more.
342,5.0 out of 5 stars,"I have been using the same pair for running for a couple of years. They get covered in sweat without skipping a beat. I bought a second pair for the gym bag that also get wet and take the additional abuse of residing in the bag. Both pairs still work great. They are plenty loud enough to isolate me from the gym music and the sound quality is plenty adequate. While I don't love them for watching netflix on the iPad, for the other described uses I could not be happier - especially for the price."
343,2.0 out of 5 stars,I bought these headphones because almost all earbuds that I try on tend to fall out. These were too wide for my head so only the front part of the pads were touching. The plastic ear rest is uncomfortable and the top of my ears will start to hurt if I use them for an extended period of time. The audio is also pretty low even when I fully press the pads to my ear.
344,5.0 out of 5 stars,"Exactly what I wanted. Not the world greatest headphones, but they fit comfortably and aren't constantly falling out at the gym like earbuds."
345,3.0 out of 5 stars,Very pleased. Comfortable and good sound.
346,5.0 out of 5 stars,"My wife wanted these for jogging, and she loves them. No complaints!"
347,5.0 out of 5 stars,"Very comfortable, very good sound quality. I had a set from Sony prior to this and used them daily for about a year before I had any issues. That's pretty good durability as far as I'm concerned compared to other headphones in this price range."
348,4.0 out of 5 stars,"Very unstylish and a little bulky but they are reliable and stay on my head when I work out, I've ordered these many times because of how reliable they are, don't care if I get glares in the gym for looking like I'm living in the 90s."
349,5.0 out of 5 stars,Excellent fit behind the head with ball cap or ski cap.
350,5.0 out of 5 stars,Perfect for running!
352,5.0 out of 5 stars,"My husband absolutely loves these headphones. He's tried several kinds and this is his favorite. They last him about a year or so because he sleeps with them on. It wears out the pads and they break off where the speaker meets the band. But other than that, he loves the quality of sound. I hope he won't wear them to bed anymore since they may not be making these much longer. Can't find them in the stores anywhere."
353,5.0 out of 5 stars,Works as expected
354,5.0 out of 5 stars,they are easy to wear i like them thank you
355,5.0 out of 5 stars,I was looking for headphones to wear while walking/jogging. Earbuds tend to fall out of my ears so I've given up on them for active pursuits. These wore perfectly. They rest comfortably on my ears and the sound quality is good for the price.
356,5.0 out of 5 stars,Love these headphones. Work perfectly for me. Will buy again.
357,4.0 out of 5 stars,can take a beating good for workouts good sound
358,5.0 out of 5 stars,"I like this style headphones, and this model is inexpensive, durable, and black. Regarding audio quality, I can't really say. It seems OK, but my ears ain't what they used to be."
359,5.0 out of 5 stars,GREAT FOR WORK OUTS
360,5.0 out of 5 stars,great bass
361,5.0 out of 5 stars,"This is a great earphone set, and it rests perfectly around the back of the neck. The sound is really good stereo, and music sounds wonderful! Great!! And thanks!"
363,5.0 out of 5 stars,"Good quality.
Hat finder"
364,5.0 out of 5 stars,"These sounds very well (not a tremendous amount of gain, but more than enough depending on the source you are using), look great, they're comfortable, and cheap. What else do you want?"
365,3.0 out of 5 stars,I got these to wear while at the gym. The don't get in the way and don't seem to get too sweaty while running. The sound is good and loud enough to drown out the gym noise.
366,5.0 out of 5 stars,Product fine as expected.
367,5.0 out of 5 stars,The sound is good and the headphones are comfortable after getting used to wearing them for longer periods of time.
368,4.0 out of 5 stars,"would have liked the cord to have been a bit longer, but other wise just fine"
369,4.0 out of 5 stars,I like it. Thank you.
370,4.0 out of 5 stars,"These work great. Sound is good and they are very durable. I do not pay a lot for headphones because they usually break easily and quickly. I run for an hour 5-6 days a week and I have little to no discomfort. This is my second pair. First pair is still working fine. HAd for about 6 months. If your looking for a low price headphone, these are worth it."
371,5.0 out of 5 stars,Great value. Work really well.
372,4.0 out of 5 stars,Still working after about a year and a half so it's worth it.
374,4.0 out of 5 stars,"This is a very good product for the price. It is light and comfortable. I wear it for about an hour before needing a break. Music is clear, detailed and crisp - I say this after trying three other low-priced headphones. The only fault is that the music is a bit bright and there could be a little more bass. But you are not going to get Grado or other top-quality sound for $20 or less. My wife has the similar Phillips product, which is pretty good, but the Sony sounds better. I tried some DJ style phones that were heavy and uncomfortable. If you're going to splurge, the expensive Bose are light, comfortable and have very accurate sound. But the Sony is good for the price."
375,4.0 out of 5 stars,"This is a nice headphone that replaces an older worn out similar pair. I think the sound is even better in this new one. I know it does not compare to very expensive ones, but these are perfect for me...good treble, mid range and bass. They fit neatly on my head which is rather small. I think they may be tight, at least at first, for a large person. I have not had them long enough to tell if they stretch in size with use. They are great for using on a tread mill or for running etc."
376,5.0 out of 5 stars,I like this style for learning music on my walks. These are comfortable and the sound quality is good.
377,2.0 out of 5 stars,There is a seam on the neckband for the wire and it has sharp edges. After a while it feels very rough on the top of your ears. They should have put it on the top of the band so the smooth side would rest on your ears instead.
378,5.0 out of 5 stars,"The design of these headphones is the main reason why I have them, but the sound quality is a definite plus. I use these all the time when I do live radio broadcasts on location. The slim design allows them to be packed in the equipment cases easily, and the sound quality allows me to hear everything that I need to when in use."
379,3.0 out of 5 stars,Sound quality is good. Looks fine. Uncomfortable on the ears. The plastic is rough/cheap and doesn't feel good on the back of your ears. Would not recommend.
380,4.0 out of 5 stars,"Love these kinds of headphones and I HATE that they can only be found in online stores these days. I'm always worried that the next set I buy will be the last available. I wish they would make wireless versions exactly like these (Sony USED to). Anyway, I'm wearing a pair right now; and, while they COULD be more comfortable while sitting writing online reviews (they're kind of tight), there is NO headphone set I've ever had that I like better for running or working out--I just wish they were wireless."
381,5.0 out of 5 stars,I love these headphones and have bought many pairs over the years. The behind the neck style is perfect for my body when it comes to comfort and staying in place. I'm also pretty hard on them and they'll still usually last a couple years.
382,2.0 out of 5 stars,"These headphones fit well and will not slip off. There are two things I do not like about them. The first is the cord is too short, it needs to be about a foot longer. The second problem is the jack comes to a 90 degree angle which means it twists alot when you move around with it. This movement results in the sound cutting out on one or both of the headphone speakers."
383,4.0 out of 5 stars,"My only issue is that other people can hear my music when i have it on. I think i don't listen to my music that highly too. But if you don't mind it, this is a great headphone. I always loved neckband headphones."
385,3.0 out of 5 stars,These headphones work way better than the earbuds but my ears must weird because after about on hour my ears hurt. My husband will only use this brand and he loves them.
386,5.0 out of 5 stars,Work well and sound good.
387,5.0 out of 5 stars,My old neckband headphones -- also Sony -- lasted more than 5 years. These appear at least as durable and sound just fine.
388,5.0 out of 5 stars,Love them
389,5.0 out of 5 stars,I received them and they have worked perfectly. The cord is longer than the generic brand I had previously. Worth every penny.
390,5.0 out of 5 stars,Love the style of these headphones and they have lasted a long time for me.
391,4.0 out of 5 stars,Works and fits as expected a product I used 15 years ago and it feels like a retro purchase!
392,1.0 out of 5 stars,"I've had a few pairs of these headphones over the last four or so years, and each one has been extremely durable with good sound... That is, until the most recent pair I purchased to replace the previous pair I had misplaced. I didn't even use them once, because as I attempted to put them on, they snapped in half. Very disappointing."
393,5.0 out of 5 stars,"My FAVORITE headphones!
Great sound, comfortable, durable and a great selection for those who like a little more than what earbuds have to offer!"
394,5.0 out of 5 stars,My husband loves working out with this style of headphones. They stay in place and don't pop out like ear buds often do. They're inexpensive and have become harder to find in stores. Like always I turned to Amazon and they're a great price.
396,5.0 out of 5 stars,I don't like the new style of headphones that either are inserted into the ear or cover the whole entire head. These are the old style of headphones that aren't overly large nor insert into the ear canal. Good sound too :)
397,5.0 out of 5 stars,"Works fine, worth the price."
398,5.0 out of 5 stars,This is my 2nd headset. The first one lasted For 3years. Using them everyday to listen to the TV from 7 PM to 1 AM.
399,4.0 out of 5 stars,i love these. Use them on stage as headphone monitors. pick up monitor mix very well without too much noise isolation. I want to be able to hear like normal but still have a headphone monitor and these are perfect.
400,5.0 out of 5 stars,"Love, love them. Can't stand in ear anything. Wish they had other colors."
401,2.0 out of 5 stars,"Not very comfortable. Ear pieces fall apart easily. Sound is decent. You get what you pay for, inexpensive, and not great quality for approx. $15"
402,5.0 out of 5 stars,Great headphones! They take a beating at the gym and I bought 2 pair so I have a back up.
403,4.0 out of 5 stars,More expensive than I would like but it doesn't hurt my ears like some cheaper models have and the sound is surprisingly good. Better than I expected.
404,5.0 out of 5 stars,Dogs eat the covers but I still use them. They could be a little tighter!!!!
405,5.0 out of 5 stars,My wife loves them
407,5.0 out of 5 stars,"I bought these for my daughter. In her opinion they are superior to earbuds, so she is very pleased with the sound and fit of them."
408,3.0 out of 5 stars,"OK, but not as smooth and natural as the Sony GDR-G54LP which, sadly, is no longer available."
409,5.0 out of 5 stars,my favorite headphones because they stay on my head during all situations
410,5.0 out of 5 stars,Love the headphones!
411,4.0 out of 5 stars,Work well if u don't like the buds in your ear
412,5.0 out of 5 stars,"These are the favorite style of headphones in our house. They are comfortable and last as long as any other headphones we've purchased.
No complaints about sound quality - mostly used for listening to audiobooks."
413,3.0 out of 5 stars,Itchy covers that go on the ear.
414,5.0 out of 5 stars,"Bought a pair of these years ago for running. I can't use anything else. My old pair died on me, but I am happy I found these. They work great!"
415,1.0 out of 5 stars,"Hi Purple Pear. I ordered this headphone on the six of October and I've only been using this for 10 days, the left side of the headphone is not making any noise anymore. I need to know what can be done at your end in this situation??"
416,5.0 out of 5 stars,These headphones sound great for the price. The behind the head design is terrific because I frequently wear a hat when working outside. I use them frequently.
418,5.0 out of 5 stars,Excellent headphones! Are waterproof and durable! I highly recommend them!
419,5.0 out of 5 stars,A-OK
420,4.0 out of 5 stars,"Nice song quality for low price,
Just the cable is short little bite"
421,5.0 out of 5 stars,the ear buds have never really fit in my ears properly so this style has always been my first choice in regards to headphones. These have good sound quality and are very durable!
422,5.0 out of 5 stars,Worked perfectly with my elderly mother's old-school portable Sony radio.
423,3.0 out of 5 stars,They are not adjustable. They pinch into my upper ear.
424,5.0 out of 5 stars,"Best headphones I've ever had. Not the most attractive, but great for the gym because they never fall off or get in the way."
425,5.0 out of 5 stars,"lets face it, sony still makes great electronics. I use these with my samsung gear vr and they dont get in the way at all, and i love em."
426,5.0 out of 5 stars,Fine sound and comfort for an outside walk. Captures audio range for classical music.
427,3.0 out of 5 stars,"Fits the purpose, the sound quality is okey, however it becomes uncomfortable when worn for long periods."
429,2.0 out of 5 stars,"I realized after purchasing these headphones that they are not the ones I was looking for. My Sony MDR-G75LW headphones broke, but the sound quality is incredible and the retractable cord is awesome, so I wanted a new pair. These aren't available anywhere anymore. I can't wear earphones because my ears are too small, so I still have to purchase neckband headphones. The MDR-G45LP's have terrible sound quality and I'm very disappointed."
430,5.0 out of 5 stars,"These fit around my head perfectly and stay in place no matter what activity I am engaged in. It's not the highest quality
sound reproduction but I am very happy with the quality regardless."
431,1.0 out of 5 stars,"This product never worked, the right ear phone had a disconnected wire. Will not order from Amazon again."
432,3.0 out of 5 stars,"These headphones are excellent value for money, comparing quiet well to the most expensive brands. No real criticisms."
433,5.0 out of 5 stars,Stays in place while I'm moving good sound.
434,5.0 out of 5 stars,"about fifteen years ago, i bought a pair of these, and used them CONSTANTLY, sitting on them and stepping on them and throwing them around - taking them to other countries, sleeping with them on at night. the sound was perfect, and just what i wanted in a headphone... and the pair i ordered here is just the same. i am very pleased, and thankful to have my trusty headphones back. <3"
435,4.0 out of 5 stars,"The work well enough, but the fit is a little strange."
436,5.0 out of 5 stars,"I ""snapped"" it before and hopefully, I will not do it again!"
437,5.0 out of 5 stars,Absolutely love these - they remind me of the old Sony S2 Sports headphones. They stay on great during weight lifting and jogging.
438,5.0 out of 5 stars,"I've been using this brand and model for a long time now and they work really well. After years my old pair finally broke, so I was happy that this kind was still available."
440,4.0 out of 5 stars,"Good headphone value (which is certainly not a 300$ Sennheiser value, but...) for this money and great for sports."
441,4.0 out of 5 stars,I am hard of hearing and have several stationed around the house as needed. They are comfortable and sound great.
442,5.0 out of 5 stars,These feel good on my head and are almost hidden since they wrap around the back of your head and they sound good. They work well for someone who is uncomfortable with ear buds.
443,2.0 out of 5 stars,"I bought these headphones because they got good reviews, but they sound terrible to me. There is absolutely no bass. I'm not looking for overpowering bass like the rap fanatics like, I prefer accurate reproduction, these headphones are not close to accurate."
444,4.0 out of 5 stars,"Not bad headphones. Get a little uncomfortable after wearing for long workouts, but well worth the money..."
445,5.0 out of 5 stars,"My old headphones stopped working on the right side. And they were behind the neck style which I really enjoy now! I really enjoy these, the only problem is the cord isn't long enough, but I'm happy either way! :)"
446,5.0 out of 5 stars,i like these. i can't use earbuds and these are a great alternative
447,5.0 out of 5 stars,Always buy over and over.Mine keep being borrowed!
448,5.0 out of 5 stars,"I love these headphones - they sound fine and sit just right. Earbuds annoy me to no end, so for me - these are the best out there for a simple 'all-around' set of headphones."
449,5.0 out of 5 stars,When working out doors it does not fall off.
451,4.0 out of 5 stars,Don't like earbud headphones. These are great. I like how they fit against your ears vs inside.
452,5.0 out of 5 stars,simple but great sounding headphones excellent for listening to for any type of music. I definitely recommend to anyone. Thansks
453,5.0 out of 5 stars,"I love these headphones. Really comfortable. Great for walking. I can still hear outside noises like cars when walking, running etc.."
454,3.0 out of 5 stars,OK
455,4.0 out of 5 stars,Item as stated
456,4.0 out of 5 stars,Great.
457,5.0 out of 5 stars,"Love these. Not too big, sound quality is great."
458,5.0 out of 5 stars,Awesome - and you didn't waste $$$ on one of those worthless 'rapper' style headsets
459,5.0 out of 5 stars,"Arrived quickly, sound pretty decent,. Now, to put down other buyers- it's $15, to judge so harshly on quality is rediculous. If you're expecting down feather comfort, then they might be a bit scratchy on the ears. Or if your last pair were Beats by Dre, sound quality isn't up top notch. But for being an inexpensive pair that are meant (personally) for taking workout abuse, they're perfect."
460,5.0 out of 5 stars,great
462,5.0 out of 5 stars,great for the gym
463,2.0 out of 5 stars,"Weak headphones, the drivers have poor sensitivity. Comfortable enough for behind the ear."
464,5.0 out of 5 stars,"I jog and walk alot, the ear buds never worked in my ears, but this headphone set stays off my sweaty head, gives me good sound and is lightweight. Use it all the time, running, walking, working in the yard...GREAT BUY!"
465,4.0 out of 5 stars,Received timely and as advertised
466,2.0 out of 5 stars,"Sound was poor, but I expected it for the price. They were not as good as the old Sony neckband headphones they replaced."
467,4.0 out of 5 stars,It's very comfortable.Sound quality is good.I have also Philips SHS 5200.Sony is better than comfort from philips
468,5.0 out of 5 stars,Very comfortable
469,5.0 out of 5 stars,Only HP's I use. Thanks for having them. There Sony so great sound. Awesome!!
470,5.0 out of 5 stars,purchased as a Christmas gift for my mother in law- very lightweight- but doesnt look cheap! She is enjoying it
471,5.0 out of 5 stars,Fast service; great product
473,5.0 out of 5 stars,"Behind the neck headphones are the best, most comfortable style of headphone to wear. With these, you're also getting premium sound quality. Sony is still the best when it comes to headphones."
474,5.0 out of 5 stars,I have worn these MDR-g45LP head phones for several years and they are the only ones that were durable and provide good transmission of sound.
475,4.0 out of 5 stars,I love everything about these except that they start to hurt behind my ears after I wear them for awhile (over an hour).
476,5.0 out of 5 stars,These are the best headphones at the right price.
477,5.0 out of 5 stars,"Very comfortable and fits my ears with little sensation. The electronics pick up the
signals easily without having to turn up the volume so much."
478,5.0 out of 5 stars,Perfect for this old cat
479,1.0 out of 5 stars,They broke a week after I bought them. Very disappointed.
480,5.0 out of 5 stars,"These are great! Inexpensive, pretty good consumer headphones."
481,5.0 out of 5 stars,Works just as I wanted it to! Great item!
482,4.0 out of 5 stars,"soundd is good. they are so light you won't even notice when wearing them. Good quality product, I use these when running and sweat in them a lot... never had any issues with it."
484,5.0 out of 5 stars,"I love these! I owned the same headphones previously but after 2 years of wear and tear I needed new ones. I just hope they keep selling them! I do a lot of running and can't stand the new ear bud trend, as they don't stay in your ears. These have good sound quality and stay put on your ears....please keep selling these!!"
485,5.0 out of 5 stars,"Nice bass response, clear highs. Sits on the ear surprisingly well! Very impressed with these inexpensive headphones."
486,1.0 out of 5 stars,"I always buy these Sony brand neckband headphones..
BUT- after only a couple months the wiring on the L-shaped jack came apart!!
(..same thing happened to the pair I bought for my roomate.)

ALSO- the bass is awful!! You'll need to boost the EQ for whatever device you're using.

Just from the look and feel- you'll instantly notice a decrease in quality if you've purchased similar Sony headphones in the past.

PS:
The foam ear pieces wont stay attached for long either....."
487,5.0 out of 5 stars,Simple lightweight design with good sound that doesn't tire my neck.
488,5.0 out of 5 stars,"This is my second pair, love them. Great sound quality and very comfortable. I wore out the first one, but it lasted a long time. Great price too."
489,5.0 out of 5 stars,"I use these at the gym 6 days a week and they are still going strong. They take a beating and still work like new. Very good sound quality. They don't isolate the sound like ""beats"" do, but I am fine with that. For the money these are a no brainer."
490,5.0 out of 5 stars,I'm probably one of the few that enjoys this type of headphones anymore. I love how they are secure to my head when I'm wearing them. The sound quality is great.
491,5.0 out of 5 stars,Inexpensive. Lightweight. Very nice.
492,5.0 out of 5 stars,Excellent sound quality and very comfortable fit.
493,5.0 out of 5 stars,"Simple and light weight. Just what I wanted. I'm wearing these over the mic of my BTE (behind the ear) hearing aid, so works well together."
495,3.0 out of 5 stars,"For years, the Sony MDR-G45LP Street Style Neckband Headphones were my go-to headphones. They were cheap, durable, and best of all, they sounded great. They would normally last me about 6 months before the headphone jack would rip off, and about a month later the sound in one side would eventually go out. For me, 6 months is a long time for headphones. These headphones were, however, extremely painful on my ears. I had to remove them after a while because they would hurt really badly and I had to rub my ears. These are no longer my headphones of choice, I have moved onto to the most popular pair of headphones by Panasonic."
496,5.0 out of 5 stars,These Sony headphones were exactly what I was looking for as a replacement pair for my boyfriend. I was worried these would be too small for him but they sit perfectly on him and are not too small. The sound is great and they are well-made. I recommend.
497,5.0 out of 5 stars,"I have bought these headphones three times in the last 9 years or so. I usually get 2-3 years of use out of them before they begin to short out. I hate ear buds, and clunky headphones. I can wear these with my hoodie or baseball cap. Very useful for urban exploration. Good balance of sound and volume too! A little stiff out of the box, but you get used to them and they loosen up a bit. I hope they never stop making this model because at ~$20 / pair they are a good bargain and investment. Much more durable them some of the higher end ones out there."
498,5.0 out of 5 stars,"Love these headphones, they're the only ones I can use. So comfortable. Cann't use earbuds because they hurt my ears. Please don't stop making them!!!"
499,4.0 out of 5 stars,"I do like these Sony MDR-G45LP headphones a lot. They are super comfortable, light weight, offer good sound, and most important, stay in place when I'm walking. For me, the fit is just right. However, when compared to the Philips Rich Bass Neckband Headphones SHS5200/28 (also sold on Amazon), the Sony's sound isn't quite as robust. The downfall with the Philips are they are a little bulky, and don't stay on my ears as well as the Sonys. So, for sitting at my desk, I prefer the Philips. For walking, the Sony wins. Both are great buys for the money."
500,3.0 out of 5 stars,These headphones are uncomfortable behind one ear. I've bought this type before and liked them. These not so much.
501,1.0 out of 5 stars,"The plastic headband is cheap and poor quality plastic, broke after 5 uses, 6 weeks after I brought it. I bought the same model 5 years ago and it still works but the new model is apparently much worse quality material."
502,5.0 out of 5 stars,Buy them. At $14 they are a steal. Easily worth double the cost. I use them for running and they stay on my ears and have great sound. I plan to buy backups in case sony decides to discontinue them. They are the only over the ear head phone that works for me. I've tried the FX-Sport for $160 and had it slip off my ears. Just buy it.
503,3.0 out of 5 stars,"These have held up being thrown in my gym bag and back pack, but they aren't especially comfortable. They do stay on, but since they aren't adjustable, they often get in the way of my ponytail or hood. Good for the price, but not my favorite."
504,3.0 out of 5 stars,"I give these a 3 because the sound quality is not great, however, I do love them. I had an original pair in the 90's and love these just as much as my originals. I got them so I could sleep comfortably with them on and I do. Great for night time listening."
506,4.0 out of 5 stars,"I go through a lot of headphones with all my cardio workouts. Ether the sweating or the occasional yanking on the cord as I swing my arms eventually doom them. These inexpensive headphones are hardly the most comfortable or produce the best sound quality, but they fit my need -- cheap enough that I can treat them as disposable. Also, since I'm using them for workouts, I don't need to worry about the best sound quality.

So in short, very inexpensive headphones that I don't need to worry about getting damaged."
507,5.0 out of 5 stars,These are great for canceling out annoying girls at the gym however they will not cancel out tmi loud grunts. I love them because you don't have to keep adjusting like earbuds
508,3.0 out of 5 stars,"Sound is good, but, uncomfortable for me.,"
509,5.0 out of 5 stars,"I have at least 4 pairs of these. They work on my ipod, my laptop, even my ham radio. The sound is reasonably good, and the workmanship is first-rate. I wear these to watch full-length movies and they never get uncomfortable.

For the price I haven't found anything tht comes close. Get an extra pair of earpads and if you find the phones are too tight, try heating the neck band with a hair dryer while bending it outward."
510,5.0 out of 5 stars,"This is the second pair I bought for my son. He still has the first one and since he liked them so much, I got a second pair for him to use with his other computer. He said they are better than the very expensive headphones he has. For the price, they are great!!"
511,4.0 out of 5 stars,Sound quality is acceptable for my use (on air in a news studio). My real reason is to not have headphones wrapped over the top of my head. These are perfect for that purpose. They are lightweight and just what I need for radio.
512,3.0 out of 5 stars,I wear them all day every day. They are comfy. Just too much treble not much bass and not as loud as the last brand I paid more for but they're durable.
513,5.0 out of 5 stars,"Love them always. Will never switch from these headphones, unless Sony stops making them and forces me to."
514,3.0 out of 5 stars,"Can't be harsh seeing as they are less than $20, but you get what you pay for. Seems like the volume isn't near as high with these compared to any of my past headsets of varying type. Not crazy about how they fit on my ears either."
515,5.0 out of 5 stars,"Great headphones, especially for sleeping onboard a ship."
517,2.0 out of 5 stars,"Decent sound for the price, BUT! this headphone are painful to wear for more that 15 minutes,
I Don't recommend."
518,5.0 out of 5 stars,Love these! No problems as of yet. I use them in the gym a few times a week.
519,5.0 out of 5 stars,I didn't think I would ever find another good pair of headphones that would stay on while working out. I sweat a LOT!!! and I was tired of the headphones in the past sliding off of my ears...These work perfectly. Even while laying down on the bench.
520,5.0 out of 5 stars,Love this style of headphones. Good for working out.
521,5.0 out of 5 stars,"Replacement for previous behind the neck headphones and these are great. Perfect fit, good sound."
522,5.0 out of 5 stars,Great sound! I run in these and they seem to be sweat proof too.
523,5.0 out of 5 stars,"These are extremely comfortable, and the behind the head part doesn't stick out like another model I had. I hear the music well, yet I can still hear surrounding environmental sounds so I'm not oblivious to what's going on around me."
524,5.0 out of 5 stars,"I ordered these for my 20 year old granddaughter. She picked them out, and she was very pleased with them, so I was, too."
525,5.0 out of 5 stars,I love these headphones!!
526,5.0 out of 5 stars,"My favorite headphones. I dislike most earbuds, they fall out and it just feels weird to jam something up your ear every time, Great solution for those who feel the same."
528,5.0 out of 5 stars,"This is the best. The way it fits is perfect, your hair looks decent and it is not like those ear plugs that hurt the ear and falls off all the time. Since I use it while working/walking it is stable and the sound is good."
529,5.0 out of 5 stars,good
530,5.0 out of 5 stars,"Great Product! Arrived exactly as expected, high quality."
531,4.0 out of 5 stars,"These really stay put and have great sound quality for long runs. After a while they hurt the outer edges of my ears, but if I just adjust them, they are fine."
532,5.0 out of 5 stars,"Durable headphones. Good deal. When I wear the headphones that you have to wear around your head it always breaks. I like that it is very flexible, I lay down with it on all the time and fall asleep with it on and it is still working fine. Great product."
533,5.0 out of 5 stars,I do not like having my headphones over the top of my hair. I do not like sticking things in my ears either. This is perfect for me.
534,3.0 out of 5 stars,These sound pretty good and are fairly cheap but will only last about 1-2 years and then the side without a cord will start to not have sound.
535,5.0 out of 5 stars,These headphones are excellent for anyone who needs some higher frequency boost to their music. They produce a very nice higher-end balance which is welcomed by those with a typical hearing loss. I can now enjoy music without compromise.
536,5.0 out of 5 stars,"Great product ,very comfortable fits behind your neck and very affordable."
537,5.0 out of 5 stars,worth every penny.
539,5.0 out of 5 stars,walk every day with my ipod ... love the comfort of this and the quality is sweet sound ...
540,4.0 out of 5 stars,The sound quality can be better.
541,5.0 out of 5 stars,boom.
542,3.0 out of 5 stars,"The angle of the ear pads just doesn't feel right, but besides that, they sound great and what I wanted for my desk listening at work."
543,5.0 out of 5 stars,"These are my favorite running headphones because they get loud, sound pretty good and are comfortable without ever falling off. For anyone who finds earbuds annoying to run with (due to sweat, the bouncing of the cord or just discomfort), this is a great pair of headphones."
544,5.0 out of 5 stars,"Nice and tight. I'm really glad this type of style of headphones is still around, since it is a superb style to work with. Would buy again!"
545,5.0 out of 5 stars,This is my 4th pair. Love the way they sound.
546,5.0 out of 5 stars,I ORDERED THIS HEADSET BECAUSE I CAN'T STAND ANYTHING ON TOP OF MY HEAD. THEY WORK REALLY WELL EVEN WITH MY GLASSES AND SUNGLASSES ON.
