,AILIHEN C8 Headphones with Microphone and Volume Control Folding Lightweight Headset for Cellphones Tablets Smartphones Laptop Computer PC Mp3/4 (Grey/Mint)
5,"Very pleased, bought these for my teenager. She loves them!"
6,have to hold the chord just right
7,"Good Product, aesthetically designed. Also folds really well and easy to carry around."
8,i love my headphones.My husband liked them also so I had to order him one . we use them all the time.
9,My son uses these at school and says they're great.
0,Good quality happy with product.
1,Padding came off after one week! Avoid!!!
2,"Very comfortable, great sound awesome headset"
3,Very nice headphone. Comfortable and decent noise reduction.
4,"Great Headphones !!!
Would highly recommend ..."
5,Very satisfied works great
6,excellent
7,Work great. Sound quality is awesome and received on time.
8,Very nice sound.
9,sound quality is great and very comfortable
0,These headphones work great. My daughter loved the color!
1,"Shipped quick, color requested was perfect, sound is good for the price and they're comfortable too"
2,Very nice and good quality sooo good my Gamer son took them from me noe i have to buy some more.. Thank u
3,Left Headphone stopped working after the first few months
4,Good quality for good price.
5,Got these for my son for Christmas and he likes it a lot! He uses it with his iphone as well as his xbox game controller :)
6,Bought these for my daughter for Christmas. She was finally able to use them and only one side works. Not impressed!
7,I bought these for my son. He absolutely loves them. He raves about them to all of his friends.
8,Not bad but they have an awkward fit and aren't tight enough on your ears.
9,Terrible - broke soon after purchase.
0,This was a gift for my sister. She loves them.
1,Got it for my daughter and she loves it!
2,Really good quality! Love it!
3,We purchased this product for our sons school classroom. It stopped working within a month in a half. Unfortunately we are past the 30 day window or return.
4,"Amazing, good quality, AND LOUD. so DUNKEY GIVES 10/10!!!!!!!!"
5,Beautiful color and great sound quality.
6,These were purchased for a 7 year old to watch a kindle while traveling. These work great. She loves the color.
7,My 15 year old son is very happy with these headphones.
8,The headphones are good but the only thing is that when you put the volume lower you can't hear anything
9,"Beautiful color, very comfortable and durable, very loud with adjustable volume on the cord"
0,Lasted all of two weeks.
1,My boys were happy with the headphones.
2,Product works and looks great!
3,Great! Exactly what I wanted for a great price.
4,Daughter ordered them on her own and she loves them.
5,cord broke within 1 week
6,These headphones lasted a month then the wiring near the jack deteriorated and quit working.
7,Very Nice!! Just what I wanted!!
8,Nice and kids approved!
9,Great product! Super fast shipping.
0,Excellent
1,Great product! Just what I was looking for.
2,the foam came off the earphones :(
3,They were good but now i can only listen out of one side and u got to move the wire that goes into your phone part around til u get sound
4,"I love the color, I love that the cord is wrapped to protect it, I love the volume button on the cord So far loving the headphones."
5,Great headphones for the price.
6,My son loves them and the sound is good. I enjoy the way they fold up to take up less space.
7,Only had for a couple months & they don't work anymore.
8,"Very pretty, fit well!"
9,No complaints
0,"These were great for my 11 year old until they broke in about 3 months. Not sure if it was the headphones or my kid, but I'd likely buy them again. The price is right. In fact, call me crazy (should I have given 5 stars? Find out after my next purchase of these same ear phones!) but I'm going to order another pair right now and see if we can get more than 3 months out of them."
1,"These headphones sound great. I like the look and the way they fold. I have used them both with my android phone and with an old IPod shuffle. I subtracted one star because it does not adjust small enough for my head and the band keeps tipping forward and backward. However, my head is smaller than average and they will probably fit most other people."
2,Used three times and then wouldn't work!
3,"I bought these for my 10 year old sister for Christmas and she absolutely loves them and so does my family. With these headphone not only do we not hear her games or YouTube videos she's watching, she doesn't have all the outside noise keeping her from being able to hear what ever she's listening too."
4,"Lightweight, folds up to fit in my little side pocket on my backpack for school. My daughter who just turned 2 already knows how to pause and play Netflix videos with the volume control + pause/play button on it. Sound is nice. The headphones are so comfortable. The color is gorgeous and matches the picture perfectly.

I also got a coupon for another pair!"
5,"these headphones are really great! The headphones work perfectly.They Adjust fine to a bigger head. They are very comfortable headphones. The headphones fold extremely nicely!nicely, The headphones have a long cord, and look nice.one of my favorite things about these is, Works for gaming consoles,mobile devices,and computers. So Overall, they are very good headphones.They are perfect for everyone!Also they are only $20!$20"
6,"It's a good product, it's me, I wanted something lighter, this seems to bulky for me, I'll surprise someone with a gift and order something more suitable for my needs. Thank you....Bill"
7,I purchased the headphones as a Christmas gift for my mom. They are lightweight and easy to use. The price was great. The ordering process was easy and delivery was quick.
8,I was very surprised that the sound is so great. The volume control is nice especially when the grandkids are using it. The color is great too. They are a little bit bigger than what I am use to using but I noticed this seems to be the style. Very comfortable to wear for a long period. Great headphones.
9,"Got these for my little brother and he loves them! They seem to be very comfy, and he loves the bright green color. Sound quality is great, perfect for playing video games on his 3ds!"
0,The headphones were very good. It came on time and very well packaged. The headphones are clear and weightless. The sound is clear and very comfortable around the ears.
1,Great product my daughter love them
2,Awesome headphones! Comfortable and good quality.
3,"Great color, very comfy. Customer service is amazing too."
4,Great. Daughter loves them
5,They were a little loose on my 11 year old's head.
6,"Great, I love it, so ordered one for my husband."
7,"Great sound, kid loves them."
8,"Decent earphones for $20. The quality of the materials is better than I would have expected.

Pros:
- Decent sound
- Folding
- Adjustable
- I like the slide volume switch.

Cons:
- Ear pieces are rigid. I mean they do not rotate to meet the ears so they feel tighter on the rear of my ears, and touch much more lightly on the front of my ears. The soft pads help a bit to compensate for the rigid ear pieces.
- The ear pads are not larger than my ears. The headphones set on top of my ears rather than surround my ears. This makes them less comfortable and they don't cut out ambient noise as well."
9,Snug to the head. Blocks out back ground noise.
0,Fast delivery. Work great! Happy with purchase.
1,"Arrived on time, and love them."
2,My daughter seems to love them!
3,"Great value, fast shipping"
4,Great
5,Worked as expected
6,Fits my 9 year old daughter. That was a concern when buying.
7,Love these!! It's a darker turquoise but the quality is great!
8,Son used for 1 month at school. Connection to plug into iPad broke
9,"Cheap headphones, input broke off in IPad."
0,These headphones look great but when they arrived the were TWO DIFFERENT colors of blue. Gross.
1,"Excellent product, the my daughter love them."
2,It stopped working after a month
3,I love these headphones! The color is great and they arrived really fast! Very pleased with my experience and the product.
4,Gift for my granddaughter. She loves them!
5,Great sound and comfortable to wear. My tween prefers these over earbuds that came with her iPhone. They pack up nicely into her backpack.
6,The mid sound muddy and the highs sound like the need a boost.
7,I have had these 2 months and the AV plug broke off. Super disappointed.
8,Great quality... had no issues!
9,Very fast and perfect thank you
0,gift kid loves it
1,"Don’t waste your money!
0 Stars!"
2,Stopped working in one ear after three months
3,Love the product!!
4,this product stopped working within the week I got it.
5,"arrived defective, very disappointed"
6,I really like these headphones
7,I needed these for noisy jet planes. They work! All the functions work. Great colors. What the heck?
8,They have thick padding that does not hurt your head if you wear them for a long time.
9,Very comfortable with great sound.
0,Great headphones for the price work perfect
1,"sound to the right doesn't work anymore,"
2,"My 7years daughter loves it. Size is adjustable, it fits her head and also my head too."
3,Harible it broken in one day
4,This item is just as stated.
5,Love them! Exactly what I was looking for!
6,Good headphone
7,The quality and rope like cord are great!
8,It came in a timely manner. I'm very satisfied.
9,Unfortunately these headphones broke the second day my daughter used the in kindergarten. The connection cord broke off.
0,perfect
1,Quality of sound was awesome
2,Would recommend. My daughter loves th m!
3,I love them!
4,very nice
5,My son loves these headphones. They are made well and sound great.
6,Very pleased with my headphones. I absolutely love them.
7,"My headphones has a nice look to them they came in on time just the way the order said, and they sound great."
8,The sound is great and my kids loved them!!!
9,My son enjoys using his new headphones!
0,My daughter loves her new headphones 🎧
1,Regret purchasing. Stopped working within three months of purchase.
2,Beautiful color. Great sound! Love them!
3,comfortable and adjustable for a child
4,Didn’t work. Total garbage.
5,Works fine
6,Look great but don't work
7,They stopped working after a month
8,Stopped working after less than 6 months. Cannot find any information on the supposed warranty. Very disappointed.
9,"These headphones are great, and they work in my IPod Touch"
0,Three months later the left headphone has stopped working. Cheap junk. So disappointed.
1,All great
2,Loved these they are so comfortable to use.
3,They were fine at first but about two week after I bought them they've stopped working completely. No sound at all.
4,"Even though the box was beat up and broken, the headphones seem to be working. My 1st grader loves them. The fit and are soft on his ears."
5,"received headphones promptly , sound quality from phones very good. I would buy this product again"
6,These are the best head phones I've ever had. No joke
7,Got 2 pairs for my boys and they love them. Seem pretty well made for $20
8,"I am very happy with these Headphones. Nicely packaged, well presented. Comfortable, great sound. I use these for gaming. They are better than I anticipated."
9,They are great for their price.
0,Absolutely love them! Great sound and comfortable.
1,I like it
2,My daughter love it.
3,ALREADY BROKE! Just days after the return window closed. Will not buy from this company again.
4,My son loves these. we are happy with our purchase.
5,Muy buenos!!!
6,"I was really impressed by the quality for that price.
Good sound and nice design"
7,My daughter loves her headphones.
8,Good sound. fits anyone
9,Nice size for my son. comfortable and works well.
0,Very good
1,Great sound.
2,OMG GET IT NOW
3,Good for price
4,Very good quality for the price.
5,👍🏻
6,Works great
7,"My daughter loves them, nice looking"
8,Great value for the price.
9,our son is really enjoying them
0,"I was having issues with low volume on my son's Amazon Kindle Fire and lots of headphones were not working very well. These did a fantastic job and he loves them. Highly recommend and given the price, a great deal!"
1,These worked great for one week. Then just stopped working all together. They were not dropped or mishandled. I contacted the seller regarding a replacement or return and never got a response. One week later I purchased another pair of headphones from the same seller but would not have done that if I had realized it was the same seller that had never responded to my message regarding a replacement.
2,These work great. The sound is so clear. I have only use them this week but so far I'm very pleased. Great headphones at a great price. They were shipped quickly as promised
3,Not a good purchase for me. Unless i tape the microphone button down the sound barely works. Disappointing the ears do not twist for a firmer fit.
4,"Initially these headphones sounded pretty good. I was hoping that ordering a set with a braided cord would last longer. Unfortunately it was not to be. After just 2.5 months, there is a short in the cord and they no longer work well at all - very staticky and sounds terrible.

Pros: fit good, well constructed headset.
Cons: not good for on the go, or for kids use. Cord easily becomes tangled and develops,a short."
5,"Bought this product for my son. He has not removed them since he got them. They are comfy and perform very well, microphone and speakers work fine."
6,"These headphones are very comfortable and love the foldable function, however the negatives outweigh the positives by a landslide. The microphone sounds horrible, but that's not the worst of it. While being relatively inexpensive, they do not last long at all before they lose sound in one ear, or both. The longest any of them have lasted has been 4 weeks. We continued to buy them because of the comfort factor but will not purchase another pair."
7,I got these to use with my roko instead of ear buds which I hate they are good as far as tv sound the cushion could be a little thicker and wider. But other than that for the price I'm happy with them. Will probably try another brand and give these to one of my grands.
8,"We purchased 2 of these as holiday gifts for teenagers in need. They arrived quickly! As it was the only item on their lists, I wanted to make sure to get nice ones. I read many online reviews before purchasing and these seem to be a solid pair. I won't be using them personally - so I can not attest to quality."
9,My 6 year old thinks these headphones are so cool and I'm happy that I didn't have to spend a lot of money to make him happy. Sound is average.
0,Great headphones for the price!
1,Stopped working within one month after normal use. You get what you pay for.
2,"They looked and sounded great, but one side stopped working about a week after receiving them. Possibly just a bad set. It happens :-("
3,these headphones exceeded my expectations. I love them - sounds is great.
4,Great headphones. My kids love them
5,Great price and really helps block noise on conference calls
6,Perfect set for my 5 year old and my 7 year old.
7,Great headphones! Very comfortable and awesome color!
8,Nice product and nice color
9,Connector broke off of the headphones after second use. Ear covers too small.
0,sound quality is pretty good but i had them for three weeks and the jack itself snapped in half.
1,Great headphones..I have been very pleased. Good value!!
2,I love it so much and the color.
3,Like very much
4,I am fixing the sound 🔊 so that i can dance to it
5,JUNK! Cord broke in a week. Good sound when they worked tho.
6,Very nice!!! Brought for my young son. Great looking too.
7,I got these yesterday and I love them so much
8,These are great headphones!
9,Are a month stopped working
0,Broken in less than a month
1,Purchased for a young teen as a gift. They loved it!
2,"Good quality, can be a little uncomfortable at the beggining, but aside from that they are really good"
3,Headphones work great.
4,"Love them, sound is awesome & looks great."
5,Headphone does not work! The plug came broken!
6,Stopped working well after 2.5 months. Annoyed it can't be returned. Wires are messed up.
7,Comfortable fit: just ok sound
8,Good quality for the price
9,Works great with great fit
0,Good product
1,They busted!
2,So far my son says they are awesome.
3,Everything was as promised!
4,Looks nice but they feel cheap and easily breakable
5,They are great headphones
6,After the second day of use the part you plug into the ipad snapped off inside the hole.
7,I love them.
8,Stopped working well within 3 months of light use. Before they broke they were nice headphones.
9,best set i have ever owned.
0,My daughter loves them !
1,"Great sound, great price"
2,My kids love these headphones!!
3,Horrible used lile 5 times and already dont work
4,Great headphones. Would definitely recommend these to anyone.
5,Great sound for the price!
6,These are great headphones at a great price. They look exactly like the do online.
7,"Only 4 stars because I had to return them. Nowhere in the description, did it say these headphones were LARGE. I ordered them for my 8 year old son and they arrived and were too big, so I had to send them back. A hassle. I wish I had known they had a SIZE, I thought headphones were one size fits most. I only looked at them for about a minute while he tried them on, and they seemed like decent quality for the price. We never plugged them in to see the quality of the sound, but at a glance and a brief encounter, they are good, just be aware of the fact that they will not fit a youth size head."
8,Great Headphones for the price very great fit for me nice on ear fit and great clarity
9,shipment is very fast and the quality of headphone is very good too.
0,"Fast shipping, great headphones, love it,"
1,Good sound quality the design is nice and it has a base.
2,They broke after 2 days. Terrible product.
3,Horrible. Headphone plug fell off randomly and jammed into our school's iPad. :(
4,Love these head phones
5,☺🙃☺☺🙃☺🙃☺🙃🙃☺☺🙃
6,This is just what I need! Thanks.
7,Headphone works well.
8,"Great headphones! Covered cord, foldable, good sound. Great."
9,Broke within 1.5 months
0,Quick shipping great product
1,Sound going in and out after a few weeks. Not great.
2,"very good, fast shipping, sound quality incredibly clear.."
3,"good deal for the price, volume could b a little louder tho."
4,Very good product.
5,Weak sound quality
6,My son loves them.
7,"Bought this for my 8 year old for Easter, three days later they do not work"
8,They worked for only 2weeks!!
9,"Great quality, much nicer and sturdier than I expected. Very happy with my purchase."
0,It’s the best
1,Great value and my 10 year old loves them.
2,Great!
3,Sound is amazing with this headphones. Loved them!
4,Great
5,Good quality
6,Perfect for my needs
7,Looked great in the box. Gave as a gift to my niece.
8,I am really happy with these!
9,Very good sound
0,My kids like it
1,Good for the price.
2,They were great and was delivered on time
3,The product works really well for the price.
4,Love them
5,Great value and high quality
6,A week in and they have broken already.
7,Good quality for the price.
8,Loved it
9,These headphones broke in my daughters iPad.
0,My 8 yr old grandson loved them! They fit well snd produced good sound
1,Broke fairly quickly. But looks nice.
2,earpads are a little small and uncomfortable. Works okay with older ipad..
3,very pleased
4,Broke in a week.
5,great sound.
6,These Headphones are exactly what I wanted!
7,Very comfortable with good sound. Great product for the price. Quick shipping
8,Unexpected quality and sound for the price. Very happy with it.
9,Great value
0,"I ended up having to print out a return slip for these TEN MINUTES after I opened up the package and tried them out. I literally didn't even get to enjoy them for a full day. Immediately when I plugged them into my phone, my laptop, my husband's laptop and phone, the sound on one side was gone, and the other side was awful. The sound control thing didn't work AT ALL. And the fit was uncomfortable. The earpieces felt like they were turned just a little bit so they weren't over my ears properly.

Pro-tip: If you come across headphones that go for under $25 and have a white nylon braided cord? They're made by the same lousy manufacturer and just sold under different names and they will either not work or stop working very quickly. Brands like AILIHEN, BienSound and others. Go for a brand you've heard of. Ugh."
1,"The product received was the same one described online. The pictures were spot on. They really are that shiny. I previously owned headphones that went in my ears and grew tired of them. So I picked these out and they go over my ears. They are super comfortable because of the padding they have (I fell asleep with them on). They have a pause and play button on the side. I really don't care for the volume control. It is a slider control. I just use the volume control on my phone to adjust the volume. The CORD is awesome. Its like a shoelace that doesn't tangle up on you. They are easy to adjust to your head. You just have to pull them down on the sides. They do fold up for storage. As for the sound, everything comes out clear. There is no static. Again, I switched from in ear headphones to over the ear headphones so these were overall a great upgrade."
2,"My 12 year old grandson showed these headphones to me on Amazon and asked me to buy them for him. He gave me the money and two days later he had them. He loved them. Good value, good styling and he loved the sound.
One week later he texted me saying the headphone plug broke off in his phone. He was very upset.
They should certainly have lasted more than a week. I cannot recomend them."
3,"NOT LONG LASTING.
These were great for about three or four months but have now stopped playing sound out of the right ear. It wasn't like I was constantly using them either, I'm not a huge headphone person so would usually try to listen to something straight out of the device so it wasn't really them just getting over used or abused--for the most part they stayed in my desk drawer until I needed them and then one day when I needed them, the sound in the right ear kept cutting in and out and now it's gone altogether and will pop up occasionally if I move in just the right way."
4,"Really like these headphones, but the adapter where it plugs in is ready giving me static, and at times, the sound drops. Other than that, the sound is pretty good, and I love the longer cord. They are small enough to fit on ear and not be bulky when they're around your neck as well. The fact that they fold makes them easily stored. The earpads are fairly comfortable; keep in mind, they will get warm after longer sessions. However, they don't hurt my ears. I really like the colors and build, and I would consider giving them another shot when they completely go out."
5,"I now walk a lot and wanted sturdy head set. This allows me to talk to people who call me (they hear me great they say) and listen to great music. Sturdy- they also fold nice. Good quality. They would make a good gift too.

I had to change my review after a few months-because I don't use these all the time-I use them when my husband takes my iPhone your plugs I Kathy says the second set-and the past like five times I've walked her job using music only one here works it goes in and out if I have to play with it. I don't have a problem with either your phone so I'm going to assume it's this. I don't have anyone I said that problem. If I had given these excessive use of wouldn't care because I know I got them at a good price-but I think they should've lasted longer than this. They do still work-but only one here and the other one popped in and out"
6,Not impressed at all with these. I used them for work and they often require me to unplug them and replug them in because the Mic looses connection. They're basically just sitting here looking cute now. The are decently comfortable but that means nothing if I can't rely on them for the microphone.
7,"This is a great pair of headphones. They look really gorgeous, fit well, are comfortable to wear, and sound great. I bought these for my daughter to use, so I really appreciate that the cable is braided which will help them to last longer and not get as tangled up. I also really like how they fold up so they don't take up as much space for storage or to bring along on a trip."
8,"These are junk. Cheap headphones that do not last long at all. When they did work, the sound quality is poor. I know they are $20 headphones but I cannot believe all the good reviews for these. They just don't sound good. I was expecting a lot more from the reviews. We had these for approximately 3 months before the volume slider became a weak point and decided to stop working hence making the headphones completely unusable. The audio became low and garbled. You get what you pay for and sometimes, reviews don't tell the real story."
9,I purchased 2 sets of them for my grade school daughters since they use netbooks in their classroom. They don't like earbuds because of their small ears. I looked online for an affordable pair of headphones and thought I would try them. They arrived in a couple of days and packaged very nicely. I was surprised how good they look in person. The sound quality is amazing. Very impressed. I always look at reviews and these headphones live up to their high ratings. I recently bought another pair.
0,My six year old is using these at school and enjoying them very much. They are holding up well and performing better than the last pair she had.
1,I bought these headphones for my 6 year old son to use at school. He had previously used ear buds that were uncomfortable for him and didn’t stay in place. He loves these headphones. They are comfortable for him to wear. The cord has a fabric type covering that makes them more durable for kids. We liked them so much I bought another pair for my other son.
2,"These worked for less than 3 months. I bought a total of 3 pairs one for each of my teens. None of them are functioning. Sound has quit playing altogether through the head phones. I liked the color, style and the kids said they were comfortable to wear. Sad these didn't last longer than 3 months."
3,doesn't work all the time
4,"Sound quality is pretty good according to the teenager! However, cord by plug in to device is already frayed and shorted out so sound only comes out of one ear.....my teenager says its his fault...however exterior disc on outside of headphones on one side already came unglued, again teenager says it his fault and not product defect. I say its probably a 50/50 shot."
5,"These are great as headphones but eventually the padding came off, making them impossible to wear.
I managed to tuck them over the plastic but they fall off in my backpack."
6,"While these are cute and comfortable to wear, the music sounds terrible. Sounds hollow and echos with nearly no bass. I have only used a few times and they are holing up well, but they do feel a bit flimsy and cheap. I guess that can be expected with $20 headphones. I will be returning."
7,"Let me tell you about the glory that is these headphones. So I am not an earbud person- therefore when my cat ate through my old headphones, I was distraught. I thought to myself nightly- what am I ever going to do? I can't hear music. I can't listen to audio books. I can't even watch really stupid YouTube Videos without my roommate hearing. My cat, evil dictator that he aspires to be, laughed maniacally at me. I searched everywhere for a decent pair of headphones that were cheep enough that I wouldn't be too upset if he ate through them again.

AND THEN I MET THE AILIHEN C8 LIGHWEIGHT FOLDABLE HEADPHONES AND MY LIFE WAS CHANGED!

They're cute. The sound is glorious. The feel on your ears makes you want to divorce your husband because he CANNOT please you like these headphones can. The jack works perfectly, smooth like the strings on a violin. It works on any type of phone except the iPhone 7. Did I mention they're cute- I can now actually be one of the popular kids at school, which is impressive since I'm a grad student. If I were going to jail I would forfit my one phone call if I could just keep these headphones with me. Also the braided cord is cat- proof so liiiike I'm in heaven."
8,"Good basic head phones. Not adjustable but the sound quality is alightly above other head phones I have used and much cuter, but nothing abive and beyond"
9,"I bough 4 pairs of those (for kids). For 2 of them, one side of the headset stopped working after a few days. For the third, it stopped altogether (fiddling with the connector would sometimes make it work, but no time for that!). The fourth is still ok. So not great in terms of quality."
0,GOOD
1,all perfect
2,Low quality
3,Only had them a month and they broke.
4,Lightweight and comfortable. Would buy again.
5,lasted 2 months before it broke
6,"Great sound reducer, comfort while wearing them."
7,Really good quality
8,EXCELLENT!
9,Wires frayed in 2 months without any abuse.
0,"Terrible, it didn't even last a month"
1,Bad connections in volume control. wire is loose.
2,"Great price and quality , quick shipping"
3,Excellent
4,Love them
5,Excellent
6,Excellent
7,Awesome!
8,Awesome headphones
9,"So this product is not very well made my 7yr old son used it 3 times to watch videos on his ipad and one of the side cushions came off. He didnt mistreat them at all but they arent well made, i will be returning them and getting some better ones hopefully. They are one size and not adjustable either."
0,love it
1,"Good quality, great price."
2,My son is 8 and loves these! They are great quality for the price.
3,Good sound quality but after 9 months one side stopped working
4,Great
5,"Sturdy design, comfortable fit"
6,"absolutely great buy, extremely comfortable and great sound quality"
7,"Fast shipping, Comfortable headphones."
8,Good
9,Excellent
0,Great headphones. But the microphone does not work that well.
1,nice
2,"the return period ended Feb 17, today is the 23rd. They don't work"
3,My son used it one time and the tip broke off. He was very upset.
4,They stopped working within two weeks.
5,"Very comfortable and has the right touch, very good headphones"
6,Item is great. Exactly what I wanted!!
7,The volume seems a little low.
8,grandson LOVES them
9,Bought as a Christmas gift for grandson. Have not opened them yet but they look great
0,"Excellent sound, but a little bulky."
1,I like it. Awesome
2,We've had these about 6 weeks and they've already gone bad. Return policy is 30 days.
3,Stopped working after 5 months of purchase.
4,"Microphone is aces, too."
5,Great head set and great experience
6,Don't adjust to head size and after two weeks they don't pick up all sounds when plugged in
7,Quick delivery and high quality product. Thanks!
8,Works great
9,Gorgeous and comfortable invention
0,might look a little cheap but sounds great
1,great sound and quality and can handle my four yr old!
2,Plug broke after less than one month of light use.
3,Very satisfied!
4,"Just got them!
Fit nicely, like the volume control. Loving them so far!"
5,I love ❤️ it it's really good
6,"Good, seems sturdy, great price."
7,My daughter has already broken them. The sound goes in and out on them. She only had them maybe two weeks.
8,Cheap made
9,"These headphones are cheap and the sound quality is what you paid for... about $10 of sound quality. My problem with them is they are so terribly uncomfortable. After wearing them for more than 20 minutes my ears hurt terribly. Most over the ear headphones have 360 degrees of movement from the headpiece to the earphone but these only have a little bit of give up and down.

I returned these - they are too uncomfortable to wear for more than a few minutes at a time and I wanted something I could wear most of the day at work."
0,daughter likes them
1,Poor quality...got what we paid for though.
2,They work amazing!!! The sound is great!! I would recommend
3,So far they are working great for my 4 year old daughter!
4,Absolutely love them and great price.
5,Love the color. And I received my order right away
6,Very nice product delivered on time when they said it would be
7,Broke after one month
8,Great purchase!
9,They work great... Both clarity and comfort....A++
0,Wonderful
1,Great. Sister love them for music.
2,good headphones for the price
3,aok
4,Really nice
5,Bought these for my son and he loves them!
6,Very good a little big earpieces but otherwise awesome!!!!
7,It's OK.
8,Great headphones highly recommend them
9,Very nice and fast shipping
0,"they are great. plus, it came ahead of time."
1,I love this headphone! It's also my first heaphone. I used it everyday now.
2,Perfect for my 13-year old twins!
3,good product
4,"Work pretty well for calls. Decent quality for price. Would give more stars if it weren't for the unadjustable band... wish that was stated more explictly in the description or photos. I have a fairly large head and these are just on the edge of being acceptable.

45 Days Update (1/3/16): These headphones just stopped working for no good reason. No one could hear me properly and all the audio I was receiving was inconsistent and garbled. I have not done anything to ""abuse"" these headphones; I only use them for work, so they're either on my desk or in a section of my backpack"
5,Love this product and the color brightens my mood ..
6,My 11-year old daughter loves them!
7,I could be better
8,It already broke. Needs returned
9,Works great!! Happy with it.
0,Good quality. My Grandson (5 years old) loves them.
1,Great bang for the money!
2,Had less than a week and the jack broke off right in the Kindle.
3,These work as expected. Wish no one could hear outside of them but otherwise very happy with this purchase.
4,"They work fantastically well, very happy with my purchase!"
5,Cute but broke in 2 mounths.
6,"Bought this for my son, great value for the price."
7,great headphones!
8,"Amazing Quality for a nice price. Loud if you want them to be, easy to store and the price can't be beat."
9,They have a great sound
0,"I bought these as a Christmas present for my son. I didn't expect great sound given the price, but I did expect them to work more than a week. IWithin a week, the sound only worked sporadically, going on and off without warning. This was a big disappointment!"
1,Disappointing. Very short (I mean VERY SHORT) cord.
2,"Our cat tends to chew through cords so I had to buy my daughter new ones recently. This color is her absolute favorite, so I knew she'd love them right away. The sound is really good and she says they're very comfortable to wear."
3,The end broke off inside my granddaughters tablet. Had a difficult time getting it out. She's six so I am not sure if she was too rough when she inserted the headphones or if it was a defect. I know it wasn't because she dropped the tablet or something like that. It has a warranty but I figure they will say it was her fault. My thought is that it should have been more durable so I'm giving it a 3. They don't look like cheap headphones and I like how they fold up and they worked great until the end broke.
4,"This is a beautiful pair of headphones. Primarily for my wife on her laptop, occasionally I have slipped them on as well. She loves them and I do too. They are comfortable, adjustable, and have a great sound. They appear and feel like they are well made.
We love them."
5,They look awesome. They sound great. Only problem is they hurt my ears after a while where they sit over them. But I'm happy with them.
6,My daughter talked me into these because she loved the color. They quit working 2 weeks after the return window. They were used regularly but not abused or thrown around. Huge wast of money. You can get a decent pair of Sonys for about the same price and they will last much longer.
7,These headphones were purchased for a 7 year female to use with her Kindle. She plays Minecraft in concert with her brother and sister and keeps these headphones on for a long time and never complains.
8,The headphones are great! They were shipped and received quickly. Sounds quality is good and the color is fantastic. There is little to no leakage which is great being in a dorm right now. And also bonus plus if you want to muffle any sounds around you just put these on. They give me a bit more quiet when around other people.
9,I bought these for my son and they were great for 3 weeks until the jack thing that plugs into your device snapped off. At first I blamed my son for being rough with them but I see this is a common complaint. I will not be buying again.
0,"For me I had headphones close to a week. I'll say this I live in New York the temperature here is really cold. I purchase for myself for the cold, music, and gaming too why not. First I went out with it and my ears were warm and toasty nice. Second the music the headphone comes with manual volume switch and a button to answer phone call or such. The audio was good the ear cups were cushion nice. It did not felt like my head was being squish like a water ballon like other headphones. Gaming I have a ps4 and a pc audio was good but speaking it was rough some part but I was hearablé on most part. The material feels kinda cheapie but all else it does its work pretty well. So 4/5 ☆ good pair of headphones for a good price."
1,THE HEADPHONES ARE GREAT. MY BABYGIRL LOVES THEM
2,Bought these for my daughter for Christmas and she loves them!
3,Great product
4,Our daughter loves these headphones!
5,Sweet
6,Purchased these for my young grandson and he loves them
7,They work perfect!
8,"Horrible audio quality, uncomfortable to wear."
9,Got them for my son and he loves them
0,"Work great, my 10 year old loves them for school"
1,my daughter really likes it especially cause it's foldable.
2,Shipping time was reasonable. Product works as expected.
3,Works great for me
4,Meets all my expectations
5,"Very comfy. I wear them all day at work. I like that you can adjust the volume right there, so if I can't/don't want to pause something but need to hear someone else, it's easy to change the volume.

I haven't had a reason to test the mic yet. Sound is wonderful though. Although not noise-cancelling, with music playing they almost are. No complaints about leaking sound from coworkers yet :)"
6,Excellent for my morning workouts
7,Love the cord as it's so durable! Shipped on time
8,great product
9,Bought these for my 12yr old son and have had no complaints.
0,İ love it
1,"Light weight, comfortable, but sound quality not very good - tinny & scratchy - just OK, not great ."
2,"Way better than what I expected, definitely get what you paid for and more"
3,My daughter loves it.
4,Excellent product highly recommend
5,Great headphones at a great price.
6,Headphone cord broke. Unable to return now.
7,Just as described.
8,they are a very good product
9,Works GREAT##
0,Love them thank u.
1,almost a month in and they still work beautifully
2,Worked perfectly out of the box. Arrived very rapidly.
3,"Nice color, worth as 20 dollar."
4,I bought two and they are both defective!
5,"Love the sound price,and color!"
6,Very good
7,The headphones are the best! Love them!
8,They fell apart after two weeks. Cheaply made.
9,Worked for 3 months.
0,The color is more green
1,Poor quality only lasted a month
2,I bought this for my daughter as a Christmas gift for her to work on audio projects. She was very disappointed by the Microphone Mic recorded voice with the loud high pitched background static noise (unbearable high pitch noise like scratching nail on the blackboard). I just noticed this last night after I bought it for her a month later as my daughter was so shy to tell me that a gift from Santa was this bad (my heart was really hurt after hearing this!). Very disappointed by this product!!! I am trying to see if I still can return this.
3,Nice headphones for a young person
4,Broke within a few weeks of buying
5,Works perfectly
6,Love these so far.
7,it's ok
8,Good headphones for a Good price
9,Great sound quality.
0,Excellent value and performance
1,The Best!
2,Worked for about 15-20 hours. Then quit on me
3,Great sound.
4,Great headphones
5,For the price I wouldn't expect it to be so clear.but it sounds so good!!!
6,sound not what expected
