,AILIHEN I60 On Ear Headphones with Microphone for iPhone iPad Laptop Tablet Android Smartphones(Grey)
142,My husband needed a work headset without a bulky microphone but that stayed on easily and blocked out sound. these work nice.
143,"It was nice the first few weeks, but after about 2 weeks the right ear of the headphone stopped working. And now the headphone stopped working altogether. I bought this about a month ago. I'm not judging but this is kind of unexpected."
144,Comfortable to wear. It sounds great for study jams! The microphone though did not last very long. I had this for about 4 months and the microphone just stopped working.
145,"Ordered these for my parents to use on a trip. Headphones have great sound and stylish looks. They are comfortable to wear and the cord is the right length. Just wish they were Bluetooth, as parents wanted them to pair with all their gadgets and smart TV."
146,"they work and sound great, thank you"
147,Really good headphones. Fairly priced.
148,Best purchase I have made in a long time. Sound is excellent and very well made for the reasonable price. Bought 2 for gifts and they love them.
149,"I bought these for my boyfriend for Christmas. He wanted something with the ""Beats"" look so I told him to search Amazon and he found these. The delivery was quick and my boyfriend absolutely loves them. He uses them Id say 5 days a week when hes on Xbox. Quality and sound are great and couldn't beat the price! Great buy, totally recommend."
150,I love these headphones. I bought them to use with my silent violin. The sound quality is excellent!
151,"The headphones are excellent but, did not worked for my intended use. Overall, they are worth the money."
152,Bought these for my nephew and he loves them
153,"These worked fine for 2 months then the microphone stopped working. The audio is average, they are pretty low budget. The microphone sound was good until yesterday. Oh well."
154,"They seem sturdy enough and are comfortable. I am a transcriptionist so I wear them for hours on end while I type what I hear verbatim. The sound is clear and they cancel noise adequately enough I can keep the volume low. -1 star because they make a lot of noise when I move my head or neck, more than any other headphones I've ever owned. not really an issue."
155,I bought these headphones for my husband and they look great as well as function very well. My husband especially liked the fact that the fold for easy packing.
156,Great sound...I own two of them and would not hesitate to get a third if needed!!
157,"for the price these work perfect..all i want them for is to watch movies they serve their purpose perfectly
they fit the ears nicely."
158,My son loves his headphones.
159,"Worked great for about a month and now the headphones are trash. Plays background sounds perfectly but everything is in and out... mostly out! Waste of time and money, Do Not Bother!!!"
160,Just what I had wanted.
161,"It does the job pretty well, but looks fragile. Must be handled with care I guess."
162,I love the Bass I have a ps4 and they work great for being a Mic A Must Buy I'm Going to Buy Another Pair Soon.
163,Very nice headphones
164,"I purchased it on Jan 3rd, it stopped working today on February 4th. While it worked I was very satisfied with the sound and they were comfortable to wear. However, given this product only lasted a little over a month, I can't in good faith recommend it."
165,bought 3 pair of these great at first. All 3 of them are now broken and unusable less than 45 days later.
166,Love these headphones. Very light but produce good quality sound.
167,My brother is going to love these. Thank you
168,better than expected!!!
169,The headset came on time. It was a gift for my daughter and I put it in here Easter basket. After a week of uses only one ear works. The left side ear phone doesn't work at all. I wouldn't buy from them again. I will go to a BestBuy.
170,great sound
171,Best $15 I ever spent. Decent sound quality and they don't squeeze my head so hard I get a headache.
172,My son loves these! We actually just bought a second pair so he can use a set for school and home. Very nice and sturdy quality.
173,"3 days after Amazon return window closed, one side completely quit working. Sound is not too bad. But quality is lacking. You get what you pay for."
174,"Safe, suitably packaged and prompt delivery. Sound quality very good. Comfortable to use and handsome appearance"
175,Good sound and good price level.
176,My god-daughter likes the rich color and the deep bass. The sound is crisp with enhancement of the bass. Best choice!!
177,Work well.
178,Don't let the price fool you. These are great sounding headphones. Purchased to replace an expensive pair these sound great both through the microphone and the ear pieces. Works well with the xbox 360.
179,"I was fooled by the 5 star ratings/reviews, I should've checked out the 1-star reviews about the weak jack. The jack broke just after the 30 day return period. Just glad in didn't break inside the iPad."
180,"Sound is awesome! Caught them on sale, but are definitely worth the regular price."
181,Seems like well built headphones for the price and the sound quality is very good.
182,The kids love them and they seem durable.
183,Fits comfortably and has really good sound. Mic works great too.
184,Had them one month. The one side stopped working.
185,They work well with my laptop computer .
186,"Very old , especially for the price!"
187,"I want to like these headphones, but if nothing is playing there's just an awful static I hear instead. I like wearing headphones at my computer, even if nothing is playing.
They do the same on my phone too."
188,"The noise cancelling is not as great as other headphones I have tried, however the microphone portion is great. I don't find them as compatible for the Samsung Galaxy is they say they are."
189,"Great! My son loves these headphones, loves the fact they can fold up and the sound is great"
190,"Bought one before for my son, my daughter really liked it so we got another for her."
191,All I can tell you is my teen loves it and actually did chores as a thank you.
192,Amazon delivered as promised. Headphones were a great buy for the price and.they work great!!
193,"Great one of the best head phones I have ever purchased for that price. The color is beautiful , It is light weigh and very comfortable. Would have give 5stars if it had a case"
194,"worked great for 2 months, then out of nothing just stopped working."
195,Just what I needed!
196,These are great headphones - excellent value for the price!
197,Excellent product at excellent price.
198,"O..K, these are a screamin deal. High quality construction, foldable, adjustable, and superb, clear, sound. I'm impressed."
199,nice
200,I like the compactness when folded and the noise cancellation aspects work pretty good for such a reasonable cost.
201,These are amazing! Love the great sound and you don't have to put volume up on your device too high. Music nice and clear with great bass! Very happy with my purchase!!!
202,this is my second pair super plus
203,"The sound quality is fine, but I haven't found these to be good for listening to music that has any bass in it. You're not going to hear the bass at all."
204,"After just over two months, these headphones are already broken. Beyer beware. These are cheap headphones and you will find yourself buying a replacement before you know it."
205,Quality and sound
206,"These are excellent headphones for the price. If you are looking for a corded set, I don't think you can beat this deal. They're bulky, but they do fold to stow. I'm enjoying the rich sound."
207,Worked fine for two months but now the audio jack is sometimes coming lose while it's plugged in to my phone for some reason and I lose the audio altogether. I take good care of my electronics so I don't know why this issue has come up.
208,"broke after several months and the company will not respond to replace, even though warranty if for a year"
209,These are the best headphones I have ever purchased. The sound quality was more than expected. Love how they fold together...consume less space...so far so good...These are GREAT.
210,They work great! Bought these headphones as a gift & have't had any problems. They are pretty loud in volume not to mention the audio sounds great.
211,I was really enjoying using these headphon but three weeks in the sound just went dead in both ears surprisingly very disappointed I really wanted these to be good but you get what you pay for i guess.
212,"They work great and my daughter loves the color,this was great you don't hear any noise outside of wearing these headphones"
213,So far I'm happy with this purchase. Looks good and comfortable
214,"These have nice sound. I have not used the microphone yet so I can't say how well it works. As headphones they have nice bass, and the sound is great. Overall they are a good set of headphones. They also fold up, making it easy to store."
215,Poorly made
216,Love the headphones. They look really good. Hardly hear any outside noise and they sound great.
217,Awesome sound n very comfortable!
218,"One ear makes an uncomfortable popping sound if any pressure is applied to the outside of the headphone, and the mic being inline makes it potentially very loud for anyone you might be talking to if it brushes up against your clothing."
219,"Given as a gift and the recipient loves them! Excellent sound quality, comfortable to wear and easy to store. Definitely recommend!"
220,Excellent sound quality. Good product.
221,"Microscope didn't work, no matter how hard I tried! DO NOT BUY"
222,good sound and comforta ble
223,I was delighted with these headphones their well-built fold nicely and the sound is great
224,"Clear, reliable sound. Decent bass. Mic doesnt always work with computer programs like skype or Hangouts, but maybe i have to change setting somewhere. Mic works well with my phone though!
Solid investment. This is my second pair. > accidentally sat on the last pair:-/ <"
225,"I ordered this product used it for 2 weeks at home with iphone6 no longer works can't return because ""return window"" is closed! NOT HAPPY"
226,Excellent headphones at a great price
227,"They did break in a little over a month, however I think that was more of my fault than the product. Great sound quality and really comfortable."
228,"I'm not using this yet, I buy them for a trip but the sound is good, but do not cancel the noise just reduce a little bit. Anyway I love the can fold and they are not heavy that is important for me because I do not need my headphones get heavy with all the stuff that I need to bring in a trip."
229,These are really nice
230,"This is my second purchase, first was for myself and this is a gift for a family member. I love it! Very comfortable for long hours and quick needs. Easily folds, good quality."
231,"I bought 2 and within a week one of them started working only intermittently, a few days later it stopped working completely."
232,My grandson's love them
233,"Great headphones. Nice, thick, weaved cable (instead of rubber). Doesn't snag or crimp."
234,Nice fit but it keeps disconnecting when I make or receive phone calls. Sending them back.
235,They are not beats but they are not $300 either. Great value for the money.
236,"They arrived on time, seem to be of good quality and fold up nicely. My son (age 7 yrs) used them and said they worked well."
237,These are very good headphones. I am very hard of hearing and am able to hear my Kindle well.
238,These headphones really exceeded my expectations. Deep bass sound and very stylish. I use mine at work to analyze employee work and also music. Great product.
239,Oh man... I had no clue they would be this good! Just got em today and in the office where folks are loud. Can't hear them at all and I barely have the volume at like 15-20%. Will definitely get me some more for home/travel!!!
240,Quality product w/ excellent sound!
241,works fine
242,"Bass is extremely disappointing. I know these aren't expensive headphones, but the $9 ifrogz headphones from Walmart sound WAY BETTER. I will be returning these."
243,exactly as described
244,I gave as a gift.
245,"these headphones were pretty good (great sound quality, very noise-cancelling, albeit kind of small) except i had them plugged into my computer and when i unplugged them, the plug got stuck in the computer and broke off of the headphones."
246,for the price they are pretty good
247,I love it there are the ones that I have looked for long time thanks KEEP UP THE GOOD WORK
248,Grandson wanted these he says he loves them
249,"It wasn't so bad... I used it for a few hours before my ears started to hurt, but after a couple weeks or so it stopped working. I suggest it if you are just listening to music or something but I don't recommend it if you want to use it for playing video games."
250,I have paid a lot scratch for big name head only to be disappointed these however are awesome very good sound and nicely built
251,Amazing sound ! They are loud and I can't even hear myself speak when I listen to these ! I bought them for my bf and tried them out they are awesome just be careful because when you fold and unfold them their a little stiff so don't break them when unfolding them .
252,Worst headphones. Lasted less than a week.
253,Definitely some nice headsets for the money. I bought these instead of turtle beaches.
254,Wanted a good pair without the big price. So far the I60 has held up great. Sound is crisp and the headphones block about 90% of the ambient noise. Also very comfortable. They do come with a mic but have found that wen I use with my phone I can't hear what I am saying.
255,"""inline volume controls"" ??? Never able to find controls of any kind. Not impressed. Way too big for phone use."
256,"Decent, good sound, comfy."
257,"The sound only works in one ear, I am very disappointed"
258,Great headphones. The sound quality is terrific.
259,"Perfect for me, a mom who does not need a name brand good quality and sound"
260,"Great little headphones, so far no issues."
261,"I like these headphones don't get me wrong, but the quality is mediocre on some parts. however the wire feels great and the pads for the ears are good the rest is... eh."
262,"They were pretty good at first but didn't last long, the sound went out on the left ear and then would come back then go out.. We went on vacation and on the plane they both went out.. good while they lasted"
263,They are great headphones & I love them.
264,No problems
265,My son has been very pleased with these headphones. They are comfortable and the sound quality has been great. They are priced at a great value. The gold finish is very nice and unusual and goes with his gold colored laptop.
266,Good headphones with great sound. It mimics a surround sound system and is really nice. My only problem is that after wearing for an extended period of time it starts to hurt my ears. But it might be a personal problem.
267,great product low price
268,The best.....
269,great product very happy with it
270,Love these headphones they were deliver quickly and they have a very rich sound. I'm able to talk over the internet without any problems.
271,Great!
272,Quality is pretty good but the cushions aren't that soft and hurt my ears after a shorter time than expected.
273,"Very comfortable. The microphone is great. Hopefully I won't have to get another pair, but if I do, I'll buy this brand. Thanks for a great product."
274,Not the best out there but if you're looking for good headphones at a typically low price I recommend these.
275,"Seem to work okay, but unless it was repackaged (despite being a new product), there should be a volume control included. The box says that they feature ""volume control"", but they do not.
Also they didn't come with any instructions for the remote, which seems pretty strange."
276,These are very good headphones. Really cuts out the noise from around me while providing good quality sound.
277,it headphones but the cable snags and broke. if they had a detachable cable like beats it would be a 5 star
278,"Great product. I like headphones with a wire, charging wireless headphones is just to much trouble for me. The cost is very reasonable, I loose things to easily. The wire is cloth covered, untangles easily. Sound quality is great. It has good looks and folds up nicely for storage."
279,On our second pair of headphones and the microphone went out within the first month. Very unhappy with this brand. The first pair took 6 months for microphone to go out. Will not be buying these again!!!
280,"Sounds great, feels great, awesome price. I use it mostly with my PS4. No complaints."
281,my daughter loves them and they look amazing. defiantly worth it ^_^
282,What a great bang for the buck. I use this for skype calls and the sound is clear and mic is good. Very happy with the purchase.
283,"Good quality for the price: sharp look, comfortable fit , and great sound."
284,"Can't believe the quality of these headphones. Adjustable fit is very comfortable, noise canceling and the bass is unreal. You won't be disappointed in this purchase."
285,Bought this for an upcoming trip. We'll have to wait to see how it works.
286,great sound and price!
287,work find.
288,"The headphones are very very comfortable. Since I use them for my cellphone and still want to hear what is around me I can comfortably adjust the fit so I hear through my right ear, thus ""freeing"" up my left ear. I am very happy with this purchase."
289,They were nice while they lasted. I've had them for 6 months and they are already defective. I have to constantly twirl the input to hear sound. It cuts in and out constantly when I'm moving with my phone in my hand.
290,"I like it, but doesn't have a volume control"
291,Works good. Breaks super easy though.
292,My husband loves these headphones. Thanks for an awesome gift- good quality and color.
293,This is our 3rd headphones set and we are very satisfied with them.
294,"These headphones are average I've had better but had worse, they do hurt the ears after just about an hour. They have a cool design and had pretty good sound bass is ok but if u try to watch a movie with them u would think u were in a bathroom with all the echo. All in all good product for price"
295,"Got them very quickly! They're for my almost 10 year old daughter and she's going to love them. Silly, but the sleek black box they come in make them looks more expensive than they are. Gonna be a big hit!"
296,"Works wonderful, and great customer service"
297,I LOVE them! The bass is rich and really good but it doesn't do a good job when you're listening to songs that focus a lot on treble
298,used for school good product
299,"Worked great, until they didn't, just 3 months into using them (and a month after the return window closed) - definitely not worth the money!"
300,My son loves them.
301,Right speaker went out after two weeks.
302,"Great price. Also, great for using on my laptop when looking at Facebook or Videos. The only thing I don't care for is I still hear background noises around me from my husband's TV or microwave, etc."
303,I bought these for my son. They arrived quickly and sound great. He uses them for gaming and music and loves them. Great quality for the price
304,Broke right away. Had it for 2 weeks.
305,"Works great, love the gold!!"
306,Got these for my husband to use while recording his podcast and he LOVES them!
307,Worked for three months perfectly loved them but now they are broken just like every pair of cheap headphones won't work unless I continuously move the plug
308,"Stopped working cord doesn't connect properly returned today, need sturdy connection point"
309,"So so headphones. Sounds okay but no volume control, only a little button for on off. I bought is similar priced product as well for my kids which had a volume control and will give that product a 5 stars for value."
310,"I was very excited to finally get these headphones, however after using them for 2 weeks the right headphone stopped emitting sound. Horrible buy!!"
311,"For a pair of $20 headphones, they work very well. Fair sound quality, excellent noise isolation, comfortable, and a nice design to go along. However, the headphones do leak sound when listening to music on high volumes. Overall, I'm happy with this purchase but don't expect studio quality."
312,"I live in hands-free Vermont, we need headphones to use our mobile phones in a car (or truck, in my case) and these work great!"
313,excellent product-comfortable-clear-reasnable price-highly recommended
314,Great product my son love them. I tried them great sound and noise cancellation.
315,Not good
316,"I am not unhappy with the headphones I purchased except that they do no lock on my head, therefore they fall off when I'm walking around let's say listening to podcasts and cleaning. Any suggestions?"
317,Nice!
318,Cool headphones 🎧 just as good as dr.dre beats and dont have to use batteries for them just plug them in i do recommend these to people.
319,This product was shipped and delivered on time. The sound isnt the best but you get what you pay for. I have no problems with the headphones. It does what its suppose to. I would order from Ailihen again.
320,Daughter loves them
321,This was purchased as a Christmas gift for a child. The headphones seem well designed and built. They fit comfortably on both a child and adult head. I'm impressed and would recommend them.
322,Earphones have stopped working already...just under 3 months now I need to b purchase another pair for my....the earphones were supposed to be durable but they could not hold up to daily use only within a little under 3 months. They were a Christmas gift for my son
323,"I am not an audiophile by any means, but... I love these!!! The sound and range / bass is great!!"
324,"Maybe it was my phone but these headphones were very low. If i had kanine hearing i would give it 5 stars but they look good. I just dont like to look at them, id rather listen to them."
325,"GREAT BASS,CLEAR MUSIC, LOVE THEM, GREAT VALUE"
326,Decent. Speakers for the cost
327,Had a week. Every item we used the headphones on it worked differently. On my iPad it worked normal. My cellphone only one ear worked. My sons PS4 controller people couldn't hear him talk. When they work they are great.
328,Great...!!
329,"They're comfortable and they do the job. There is a little bit of static when there's no sound coming through, but while listening to something they're fine."
330,great sound!
331,"I was not sure what to expect when I ordered this.The price was cheap.I have to say having this now,what a bargain it was.I use it for calling people.Everyone says that it sounds fantastic."
332,"Nice set of headphones for a price I'm good with. I'm not an audiophile, but they sound good to me. The noise cancellation is nothing major, but it's enough to take the edge off of my bus commute. Plus, they fold up for semi-easy storage. A nice headphone experience overall."
333,Plug came off inside my controller.......
334,"Great headphones for the money. Use them for recording and they do a great job of isolating background noise and truly reflecting what is being played. Bass is strong, major plus. Better than most more expensive headphones"
335,Great earphones. Sound quality is really good can't complain. One minor thing the cord is really long a plus is some instances a small hassle in others.
336,"Awesome sounding headphones, great fit, great cord length, very comfortable when working out. Great Job"
337,Christmas gift to my grandson--he loved it!
338,"Plug breaks easily along with mic... not recommend for gaming, but for casual listening it will do the job"
339,"Sound incredible!!! Good as beats headphones, but without the pricetag!!! Great buy!!!"
340,"Ear pads are small on my ears ,microphone hard to figure out"
341,"Purchased for my son. He loves them. They are great headphones for preteens..Asthetically pleasing, and they don't cost an arm and a leg, and they work great for the YouTube watching, game playing, etc."
342,"At first the headphones worked fine and look great, but they quit working after 2 months. Shipping was poor. Product arrived several days after expected."
343,"The headset is nice, comfortable and works well."
344,For my grandson but tried them out and they are great. Well made
345,It works
346,"I have used more expensive headphones that didn't compare to the Ailhen I60's. Not only is the sound good, the headphones block out most ambient noise, including screaming hollering kids,wife, or many other unwanted noise."
347,"Great sound, great look, great fit. I'll let you know in a few months how they hold up."
348,"I bought these headphones for my 11 year old daughter, and she LOVES them. She loves what they look like, says the sound is great and says they are VERY comfortable!"
349,"Love these headphones. Purchased for use on my iPhone, iPad and Mac, they are very lightweight and the folding design makes them super easy to transport."
350,cord went bad really quick
351,"My son really likes these. They fold up conveniently. The only drawback is that they hurt his ears after awhile, but he says that's just a good reminder not to wear them too long."
352,Bought these for my grandson and he loves them. He says they are comfy and the sound is clear.
353,one side quit right away. They may look nice but i would not recommend them!
354,Great Sound Quality
355,"My son loves them. Comfortable fit, great sound. Received a 20% off coupon with the order. My daughter likes them, too, so we just used the coupon to order another pair for her."
356,"Bought this for my husband and used it for a work call, it was great! Buying one for myself now!"
357,Cool love them.
358,Broke after just a few months of use. Very disappointed.
359,"Aux cord broke as soon as my son plugged it to his phone, I have to get his brand new phone fix to get the little pieces out...smh(this is my first bad review in 5-6 years)"
360,The audio quality is better then expected! Ordered for daughter but ended up keeping for gaming and ordering another set for her.
361,I bought these for my 11 year old son. They fit great and are comfortable on him.
362,"Great headphones.The sound quality and material are outsanding for the price.. I had bought a pair of Sony ones at Best Buy for a much higher price, which I returned after I tried this one. I also ordered a second pair for my daughter.. highly recommended!!"
363,Great headphones great stereo in really blocks out the noise even if there's nothing playing hoping I don't break them like every other pair that I have gotten in the past
364,Great headphones... Fast ship
365,"Excellent quality for a low price! Great sound quality and comfortable to wear, even for long periods of time (which I do, as I'm a walker). I'm very happy with this purchase."
366,"I love these headphones, but they broke recently. they are extremely high quality but break easily"
367,"Great head phones for a good price !
The head phones adjust to fit the size of your head.. they are comfortable and stay on well not to mention great sound quilty. Definitely buy again"
368,Just what I needed.
369,"The headphones are extremely comfortable and provide good sound quality while doing a good job in blocking out outside noise. I was so pleased, I ordered a second one immediately to have as a replacement or as a gift."
370,My child uses it with a fm system in school. He said it works well.
371,"This was a birthday present for my 11 year old son. He absolutely loves it. It is exactly as advertised. Great quality, great price."
372,Great sound. Keeps noise out well. Very comfortable to wear.
373,"A good headphone for its price. It hurts the ears though, after a couple of hours. The holes for the ears should not be round. It costs just as much to make them oblong to accommodate most ears."
374,Just bought another one.
375,"Heavy, doesn't fit on ear, got ear pain, sound quality is ok"
376,Works as hoped. No complaints.
377,"As soon as I opened the box, my dad took the headphones out, tried them on, and kept them, so I ended up having to buy a second pair. I love them and so does he. They are exactly what I was looking for: comfortable, over the ear, noise cancelling, and sleek."
378,"Not only the sound is fantastic, but it nearly cancels out surrounding noise. It is also comfortable and stylish. I'd definitely recommend these headphones to anyone."
379,"fit well, sound good"
380,vary cheap feel but works ok
381,My son (8) bought these and he loves them. Thanks for proving something that has both good sound quality and is affordable!
382,"Bought them for my son in 8th grade for school
He said they work great.
The price point is good because anytime an electronics goes to school anything could happen to it."
383,"Died before a month, threw away the box..cannot return"
384,loved these
385,Solid purchase. Had it for a few days. I like the material they used for the cord.
386,one of the set of two i bought stop working a day after use
387,good
388,Great design and very good product. works as advertised
389,"The product is great when taking into account the price. It feels comfortable, has good sound, and looks nice!"
390,"sounds great, am going to order another."
391,Very nice sound quality. Bought for my 12-yea-old son and he loves them.
392,Great headphones with what i think of as awsome sound quality.
393,"great item, great sound. affordable."
394,I received the item in a timely manner and the sound is good for the money. I like the cord because it doesn't get twisted up. I would recommend this product to a friend.
395,Hasn't lasted that long. My only issue is that the wire that connects the the headphone piece is messing up and won't emit sound unless places a certain way
396,These worked great for about 2 months. Now the sound isn't coming through unless you jiggle the cord around a bit. Pretty bummed about it.
397,Headset came with mic not working properly.
398,Very nice. I loved them so much. High quality voice and soft to the ears. Also you can fold them and keep them in a small space. On top of that very affordable price.
399,These were definitely my fave but it's been less than a month and the cord is fraying. I use them when recording and editing my show and I can't afford my equipment breaking just from general use. I'm disappointed
400,I cannot agree more with the soft material it says it is made. Volume is great and easy to put away. Highly recommended
401,No noise-cancellation from my talking colleagues. Audio is good.
402,Headphones were a little heavy but not bad. The sound was very good
403,"Great product for the price, and blocking out the world."
404,Really good for the price. Only 3 stars because the product stopped functioning properly. The wiring on the headset might be soldered improperly.
405,Nice product. Arrived on time thanks
406,Arrived quick. Super good quality sound. Sturdy. I feel confident it will last a long time.
407,"Its an absolutely great product however I thought there was a volume button as I saw on the Amazon post? However it""s an awesome product"
408,"The sound is really good, but the only thing that bothered me was that after about 1/2 hr it stated to bother my ears. In general they are ok."
409,The headsets were great but after 4 days they stopped working and I tried to email and two weeks later still no answer. I do not recommend them since they don't stand behind the product.
410,Our customers said they can't hear a word when we use it. Will be returning the item.
411,"Good quality, good fit, good sound, seems sturdy. Bought for pre-teen and they liked them."
412,My nine year old son LOVES these! I only wish they came with a storage pouch. They seem like they are good quality and hardy.
413,These are great headphones as well as being very aesthetically pleasing.
414,love them
415,Used on overseas flights really quieted engine noise. Hard plastic hard to lay head on
416,Great!
417,"They're more beautiful than the pic. Sound quality is epic and the packaging was well supported. So no scratches, bumps or bruises seen."
418,The sound stop playing on the left year
419,Worst product.Stopped working after couple of months.
420,OMG this headset sounds amazing... Love it.
421,Where is the volume control. No instruction card.
422,Bought two pairs of these for my husband and I love the way they work
423,Great sound and fit
424,Got these for my 11yr old to go on a trip. He loves them...I put them on and its a very good quality sound. I would recommend these to anyone.
425,Love these !! Great sound and super comfy !!!
426,"You notice the drop in noise as soon as you put them on, even before the music starts. Annoying co-workers? Put these babies on and block them out. Turn the music on and you will be in your own world, getting your work done without wanting to scream at the people around you. I am NOT a big music person who cares about the bass or whatever. I am strictly one who wants to drown out the soap opera going on around me, put on some music that will get me moving and get my work done. I can't answer any questions about technical stuff, but I can tell you that they play loud and you will NOT hear anything but what you are listening to."
427,"For the price, those headphones are amazing. I have a stepson who plays music and these block out drum sounds. A must buy!"
428,i enjoy them not bad
429,Great sound quality and the microphone is awesome too...use it with iPhone 6
430,"I bought these, and when they came, I was very happy, the folding is a good bonus. I travel a lot and these will be helpful. they look great, and they're great for the price!"
431,Great sound and fit for the price
432,"Good unit , but I intend to upgrade to another of your other headphones , but this one works pretty well for now ."
433,Sound was great for the price. After 7 months of use lost sound on the right side.
434,Light weight and sound blocking. Comfortable.
435,Working great sound is good
436,My son loves these headphones. Got them quick as well.
437,Love it. The mic that came along works pretty good.
438,"great headphones for the kids, looks great and works well."
439,Good
440,"Works great for the price, but $20 is $20. Don't expect a miracle. If you need them for chatting, online gaming casual use, it's a great value."
441,These headphone is spectacular. The sound is great quality and my husband love his very own ALIEN I60 BASS HEADPHONES.
442,"These headphones are just so really awesome !!!!
I use them at the gym and just get lost in my music. Really recommend these to everyone"
443,"I paid for 2 day shipping and I got them in the time I could've if I got standard free shipping,I'd like my money back for that but overall good headphone with great sound quality with nice nylon cord cover."
444,Product as stated.positive experience!!
445,"I got them a week ago. What a great listening experience and a great price. Music, podcast and phone, all sound great."
446,Stopped working in 5 days. Pure garbage.
447,Nice headphones. Very large in size if you have a larger head.
448,It worked well for a couple of weeks till it started to short. The speakers were flickering in and out in one till it was inoperable.
449,I just love my foldable headphones it is just what I have been looking for.
450,One side stopped working in a couple of weeks. Poor purchase.
451,Plug in jack broke a couple weeks after having them.
452,Bought for my son for xmas. They work great so far. The sound is pretty good and the sound can really be cranked up.
453,"Good headphones. Unfortunately one of the pairs I bought broke within two weeks and they have an extremely long cord. If I could remake this decision, I would go with ear buds."
454,"They work great, and the sound is awesome. I had to purchase microphone heaphones for a class and they are perfect."
455,Literally compete with my skullcandy hesh 2's!!
456,Awesome sound! My daughter loves them! Nice packaging too!
457,They lose a star because they are so annoyingly large.
458,Nice sound
459,"Four for now, but that's because usually headphones last a few months"
460,Great headphones. My husband does not like ear buds and we needed headphones for the plane. They worked great
461,Great sounding headphones - my little guy LOVES them.
462,"Works well but very tight around my head, gives me headaches. I stopped using it altogether"
463,Very nice. Comfortable to wear great sound
464,These headphones have great sound and volume! The noise canceling is a little too good! The folding feature is a great bonus! I'm very happy with my purchase!
465,Received in a very timely matter and was exactly as described. It was a present and the recipient loves them.
466,The sound was great while it lasted. It stopped working within 2 months or less.
467,The sound quality is very nice. My only two problems are the cheap feeling and the sound bleeding.
468,"Great sound, comfortable, and mutes the outside world..... awsome"
469,work good sound pretty good
470,"I bought these for my son for Christmas, and he is very pleased with them. They are exactly what he wanted."
471,Very pleased. good quality.
472,The Ailihen 160 headphones perform as promised. They are exactly what I needed.
473,Headphones sound good but wish it could be a little bit louder
474,Great set of headphones! Great functions. Nothing complex or cheap.
475,These headphones are amazing for me so far I have no complaints. I just wish they were over the ear and not on the ear for more comfort. But other than that the sound is incredible.
476,Received in good condition and it was a gift
477,the plug on these fell apart three days into using them
478,Great quality and love the sound!!
479,These are excellent for the price!
480,I wear these every night I think they're wonderful
481,really a good headphone for this price
482,Awesome!!! Could not believe how good of sound quality these headphones put out!!!
483,"I bought these for my teenage Granddaughter, she really enjoys them"
484,Very happy!
485,Great product!!
486,Great set of headphones!! I was pleasantly surprised by the quality of sound.
487,My dad loved these as his birthday present. They sound great and I like that they folder easy storage.
488,Stopped working after 5 weeks. Can't even return now. Highly disappointed. Do not buy these!!!!
489,This was a gift for my mom and she loves these headphones!
490,4 mos or less and I lost the sound in the left ear AUGH not happy at all
491,The sound just isn't what I expected. Try something else. Packaging and appearance rate A+
492,"Pretty good set of headphones so far. Comfortable to wear and good, Rich sound. I recommend it."
493,Poor connection quality... using Iphone
494,Love the headphones
495,Just got these in December and they already stopped working. I only get sound out of one side.
496,"It's OK, not great"
497,"Love them!! They block out outside noises, sound great and love how them fold for convenient storage"
498,Fit and look great. Sound is fantastic would definitely purchase another pair.
499,💯💯💯💯💯
500,Affordable and performs as stated. Lightweight and reduces environmental background noise.
501,"These headphones are awesome! Great sound, great bass. For the money, you will not find a better deal!"
502,Great price for a low to mid range headphone. Glad I bought them.
503,I returned the headphones because the earphones did not extend down far enough to cover my ears.
504,This thing stopped working after about 2 months.
505,very satisfied with selection
506,"Got this for my 11 year old and immediately within a few days, one headphone was not working. A hassle to return."
507,they look good they sound good they are definitely gonna get a short in the wire after a few months thats not good
508,Broke after few months. Not recommended for kids.
509,Nice and comfy. They work well for my laptop. I can have a skype meeting with my co-workers and they hear me just fine!
510,They great thanks
511,"I had so much high expectations for this. I want to sell it for $5 or $10 now. Yeah, the bass is above average. But overall quality is below average. My $10 earphones is better"
512,"Great product, best sound! Thank you, I love it!"
513,The headphones arrived on time. They are great. Good sound my son loves them thank you.
514,"Quite please with the design, sound, and quality!"
515,My kids love them!
516,Works great.
517,Purchased for daughter- she loves them. Great folding feature make them very portable.
518,"I got these headphones for my 11 yr old son for his birthday, they worked for less than a month."
519,This was a gift for a friend and she loves it! She say they sound great!
520,It's everything I expected and it came in two days. It doesn't get much better than that.
521,Yes i love them
522,Daughter loved these for a few months until they stopped working.
523,"Very nice sound, unbeatable for the price."
524,Gave as a gift and t was a hit
525,EXCELLENT HEADPHONES WITH MICROPHONE! I AM HAPPY! VERY FAST DELIVERY! THANK YOU.
526,Amazing product! Very loud and clear sound. My son still raves about it! Very happy with the purchase!
527,They aren't the ones I thought they were but they are still totally worth it! I love them!!
528,Great headphones my grandson loves them.
529,Excellent quality
530,Good quality for your money
531,good the first week. the cord broke and sound came out 1 ear
532,I love them. I bought them for my husband and he can't stop using them.
533,Cheap Quality
534,Fit great and sounds great
535,Yes they met my expectations. I have to order another pair for my brother.
536,Came defective only one ear has sound.
537,I havent actually used them yet. But quality seems nice. They look good!
